**********START:02/14/2023 03:19:29**********
{'time': '02/14/2023 03:20:45', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0972390174865723, 'accuracy': 0.3863636255264282, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5397727489471436, 'prc': 0.3643643856048584, 'seed': 0}
{'time': '02/14/2023 03:23:21', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.0037007331848145, 'accuracy': 0.5470085740089417, 'precision': 0.5470085740089417, 'recall': 0.5470085740089417, 'auc': 0.6709401607513428, 'prc': 0.48611634969711304, 'seed': 0}
{'time': '02/14/2023 03:27:45', 'total_params': 2380675, 'ratio': 3.0, 'loss': 0.9687738418579102, 'accuracy': 0.5890411138534546, 'precision': 0.5890411138534546, 'recall': 0.5890411138534546, 'auc': 0.6917808055877686, 'prc': 0.5179991126060486, 'seed': 0}
{'time': '02/14/2023 03:31:42', 'total_params': 2380675, 'ratio': 4.0, 'loss': 0.8712154030799866, 'accuracy': 0.6647727489471436, 'precision': 0.6647727489471436, 'recall': 0.6647727489471436, 'auc': 0.7556818723678589, 'prc': 0.5929551124572754, 'seed': 0}
{'time': '02/14/2023 03:35:01', 'total_params': 2380675, 'ratio': 5.0, 'loss': 0.800839900970459, 'accuracy': 0.712195098400116, 'precision': 0.712195098400116, 'recall': 0.712195098400116, 'auc': 0.7951219081878662, 'prc': 0.6437659859657288, 'seed': 0}
{'time': '02/14/2023 03:41:30', 'total_params': 2380675, 'ratio': 6.0, 'loss': 0.7961516976356506, 'accuracy': 0.7094017267227173, 'precision': 0.7094017267227173, 'recall': 0.7094017267227173, 'auc': 0.8141025900840759, 'prc': 0.651168704032898, 'seed': 0}
{'time': '02/14/2023 03:47:39', 'total_params': 2380675, 'ratio': 7.0, 'loss': 0.7034413814544678, 'accuracy': 0.7680608630180359, 'precision': 0.7680608630180359, 'recall': 0.7680608630180359, 'auc': 0.838403046131134, 'prc': 0.7060868144035339, 'seed': 0}
{'time': '02/14/2023 03:55:46', 'total_params': 2380675, 'ratio': 8.0, 'loss': 0.6125233173370361, 'accuracy': 0.8116438388824463, 'precision': 0.8116438388824463, 'recall': 0.8116438388824463, 'auc': 0.8664383292198181, 'prc': 0.7546992301940918, 'seed': 0}
{'time': '02/14/2023 04:05:00', 'total_params': 2380675, 'ratio': 9.0, 'loss': 0.5899826884269714, 'accuracy': 0.8229813575744629, 'precision': 0.8229813575744629, 'recall': 0.8229813575744629, 'auc': 0.8742235898971558, 'prc': 0.7680020332336426, 'seed': 0}
{'time': '02/14/2023 04:13:52', 'total_params': 2380675, 'ratio': 10.0, 'loss': 0.5793265104293823, 'accuracy': 0.8290598392486572, 'precision': 0.8290598392486572, 'recall': 0.8290598392486572, 'auc': 0.87321937084198, 'prc': 0.7725100517272949, 'seed': 0}
{'time': '02/14/2023 04:20:18', 'total_params': 2380675, 'ratio': 11.0, 'loss': 0.5131266713142395, 'accuracy': 0.8578947186470032, 'precision': 0.8578947186470032, 'recall': 0.8578947186470032, 'auc': 0.9013157486915588, 'prc': 0.8116843700408936, 'seed': 0}
