**********START:02/16/2023 17:39:09**********
{'time': '02/18/2023 10:45:06', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.924242377281189, 'accuracy': 0.5632184147834778, 'precision': 0.6129032373428345, 'recall': 0.4367816150188446, 'auc': 0.7540295720100403, 'prc': 0.6508520841598511, 'seed': 0}
{'time': '02/18/2023 10:47:37', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.9910327196121216, 'accuracy': 0.5833333134651184, 'precision': 0.6842105388641357, 'recall': 0.4642857015132904, 'auc': 0.7636408805847168, 'prc': 0.6285601854324341, 'seed': 0}
{'time': '02/18/2023 10:55:21', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.0132569074630737, 'accuracy': 0.5, 'precision': 0.517241358757019, 'recall': 0.38461539149284363, 'auc': 0.7022107243537903, 'prc': 0.535316526889801, 'seed': 0}
{'time': '02/16/2023 00:35:28', 'total_params': 827267, 'ratio': 4.0, 'loss': 0.9552403688430786, 'accuracy': 0.48275861144065857, 'precision': 0.5362318754196167, 'recall': 0.4252873659133911, 'auc': 0.716144859790802, 'prc': 0.5786280632019043, 'seed': 0}
{'time': '02/18/2023 10:58:20', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.0014448165893555, 'accuracy': 0.4660194218158722, 'precision': 0.5, 'recall': 0.3203883469104767, 'auc': 0.6878358721733093, 'prc': 0.510081946849823, 'seed': 0}
{'time': '02/18/2023 11:02:05', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.07948899269104, 'accuracy': 0.36666667461395264, 'precision': 0.4285714328289032, 'recall': 0.20000000298023224, 'auc': 0.5953395366668701, 'prc': 0.4023495614528656, 'seed': 0}
{'time': '02/16/2023 00:38:47', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.1096071004867554, 'accuracy': 0.3414634168148041, 'precision': 0.34567901492118835, 'recall': 0.3414634168148041, 'auc': 0.6505057215690613, 'prc': 0.45192670822143555, 'seed': 0}
{'time': '02/18/2023 11:06:50', 'total_params': 827267, 'ratio': 8.0, 'loss': 1.1282800436019897, 'accuracy': 0.40243902802467346, 'precision': 0.395061731338501, 'recall': 0.39024388790130615, 'auc': 0.6822947859764099, 'prc': 0.5305346250534058, 'seed': 0}
{'time': '02/18/2023 11:12:38', 'total_params': 827267, 'ratio': 9.0, 'loss': 1.22938871383667, 'accuracy': 0.3645833432674408, 'precision': 0.3655914068222046, 'recall': 0.3541666567325592, 'auc': 0.6011828184127808, 'prc': 0.4252338707447052, 'seed': 0}
{'time': '02/16/2023 00:44:07', 'total_params': 827267, 'ratio': 10.0, 'loss': 1.3085694313049316, 'accuracy': 0.34408602118492126, 'precision': 0.34408602118492126, 'recall': 0.34408602118492126, 'auc': 0.5969765782356262, 'prc': 0.38890427350997925, 'seed': 0}
{'time': '02/18/2023 11:18:57', 'total_params': 827267, 'ratio': 11.0, 'loss': 1.071640968322754, 'accuracy': 0.3670886158943176, 'precision': 0.3733333349227905, 'recall': 0.3544303774833679, 'auc': 0.7005288004875183, 'prc': 0.5229310393333435, 'seed': 0}
{'time': '02/18/2023 11:28:48', 'total_params': 827267, 'ratio': 12.0, 'loss': 1.1720800399780273, 'accuracy': 0.38823530077934265, 'precision': 0.3827160596847534, 'recall': 0.364705890417099, 'auc': 0.6516262292861938, 'prc': 0.478145033121109, 'seed': 0}
{'time': '02/16/2023 00:57:21', 'total_params': 827267, 'ratio': 13.0, 'loss': 1.1917681694030762, 'accuracy': 0.37974682450294495, 'precision': 0.3717948794364929, 'recall': 0.3670886158943176, 'auc': 0.6561047434806824, 'prc': 0.48399797081947327, 'seed': 0}
{'time': '02/18/2023 11:34:58', 'total_params': 827267, 'ratio': 14.0, 'loss': 1.4064795970916748, 'accuracy': 0.3294117748737335, 'precision': 0.3333333432674408, 'recall': 0.3294117748737335, 'auc': 0.6140830516815186, 'prc': 0.4070415496826172, 'seed': 0}
{'time': '02/16/2023 17:41:11', 'total_params': 827267, 'ratio': 1.0, 'loss': 1.019140362739563, 'accuracy': 0.5287356376647949, 'precision': 0.5964912176132202, 'recall': 0.39080458879470825, 'auc': 0.7424692511558533, 'prc': 0.5971117615699768, 'seed': 1}
