**********START:02/16/2023 17:39:09**********
{'time': '02/18/2023 10:44:27', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0892027616500854, 'accuracy': 0.4367816150188446, 'precision': 0.0, 'recall': 0.0, 'auc': 0.6034482717514038, 'prc': 0.4075654149055481, 'seed': 0}
{'time': '02/18/2023 10:46:43', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1135004758834839, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5476190447807312, 'prc': 0.3507648706436157, 'seed': 0}
{'time': '02/18/2023 10:54:48', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.2107195854187012, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.49358972907066345, 'prc': 0.3311120867729187, 'seed': 0}
{'time': '02/16/2023 00:34:39', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.3005197048187256, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.522988498210907, 'prc': 0.34154367446899414, 'seed': 0}
{'time': '02/18/2023 10:57:41', 'total_params': 2380675, 'ratio': 5.0, 'loss': 1.3547723293304443, 'accuracy': 0.3300970792770386, 'precision': 0.3300970792770386, 'recall': 0.3300970792770386, 'auc': 0.5339806079864502, 'prc': 0.34470251202583313, 'seed': 0}
{'time': '02/18/2023 11:01:23', 'total_params': 2380675, 'ratio': 6.0, 'loss': 1.4045085906982422, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333432674408, 'seed': 0}
{'time': '02/16/2023 00:38:01', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4121191501617432, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.542682945728302, 'prc': 0.34775781631469727, 'seed': 0}
{'time': '02/18/2023 11:05:14', 'total_params': 2380675, 'ratio': 8.0, 'loss': 1.4551665782928467, 'accuracy': 0.32926830649375916, 'precision': 0.32926830649375916, 'recall': 0.32926830649375916, 'auc': 0.5, 'prc': 0.33217424154281616, 'seed': 0}
{'time': '02/18/2023 11:11:52', 'total_params': 2380675, 'ratio': 9.0, 'loss': 1.4745441675186157, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5364583134651184, 'prc': 0.34653210639953613, 'seed': 0}
{'time': '02/16/2023 00:42:49', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.520782470703125, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5215054154396057, 'prc': 0.3410024642944336, 'seed': 0}
{'time': '02/18/2023 11:17:40', 'total_params': 2380675, 'ratio': 11.0, 'loss': 1.681291937828064, 'accuracy': 0.3291139304637909, 'precision': 0.3291139304637909, 'recall': 0.3291139304637909, 'auc': 0.5316455960273743, 'prc': 0.34355905652046204, 'seed': 0}
