**********START:02/16/2023 17:39:09**********
{'time': '02/18/2023 10:45:18', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6781609058380127, 'f1score': 0.2641938626766205, 'precision': 1.0, 'recall': 0.15247584879398346, 'auc': 0.836900532245636, 'prc': 0.7354005575180054, 'seed': 0}
{'time': '02/18/2023 10:47:47', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6309523582458496, 'f1score': 0.4330337941646576, 'precision': 1.0, 'recall': 0.27638888359069824, 'auc': 0.825432300567627, 'prc': 0.7114824652671814, 'seed': 0}
{'time': '02/18/2023 10:55:34', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.5769230723381042, 'f1score': 0.45934954285621643, 'precision': 1.0, 'recall': 0.2986111342906952, 'auc': 0.8168556094169617, 'prc': 0.7218189239501953, 'seed': 0}
{'time': '02/16/2023 00:35:38', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.540229856967926, 'f1score': 0.48656895756721497, 'precision': 1.0, 'recall': 0.32155799865722656, 'auc': 0.7939621806144714, 'prc': 0.6736754179000854, 'seed': 0}
{'time': '02/18/2023 10:58:30', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.5339806079864502, 'f1score': 0.49704721570014954, 'precision': 1.0, 'recall': 0.3307291865348816, 'auc': 0.7692996263504028, 'prc': 0.618499755859375, 'seed': 0}
{'time': '02/18/2023 11:02:15', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.5222222208976746, 'f1score': 0.49120858311653137, 'precision': 1.0, 'recall': 0.32558760046958923, 'auc': 0.7900617122650146, 'prc': 0.656223714351654, 'seed': 0}
{'time': '02/16/2023 00:38:57', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.4878048896789551, 'f1score': 0.4921259582042694, 'precision': 1.0, 'recall': 0.3263888657093048, 'auc': 0.7843173742294312, 'prc': 0.6446729302406311, 'seed': 0}
{'time': '02/18/2023 11:07:00', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7642771005630493, 'prc': 0.6172005534172058, 'seed': 0}
{'time': '02/18/2023 11:12:49', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4920634925365448, 'precision': 1.0, 'recall': 0.3263889253139496, 'auc': 0.7887912392616272, 'prc': 0.6331945657730103, 'seed': 0}
{'time': '02/16/2023 00:44:20', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.44086021184921265, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7036651372909546, 'prc': 0.5086297988891602, 'seed': 0}
{'time': '02/18/2023 11:19:08', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.4177215099334717, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7319340705871582, 'prc': 0.5562225580215454, 'seed': 0}
{'time': '02/18/2023 11:29:00', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.42352941632270813, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.740380585193634, 'prc': 0.5805005431175232, 'seed': 0}
{'time': '02/16/2023 00:57:32', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.5189873576164246, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7940235137939453, 'prc': 0.6441336870193481, 'seed': 0}
{'time': '02/18/2023 11:35:10', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.5647059082984924, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7679239511489868, 'prc': 0.5990786552429199, 'seed': 0}
{'time': '02/16/2023 17:41:23', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.5977011322975159, 'f1score': 0.23896102607250214, 'precision': 1.0, 'recall': 0.135869562625885, 'auc': 0.806975781917572, 'prc': 0.6956070065498352, 'seed': 1}
{'time': '02/16/2023 17:44:03', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.5833333134651184, 'f1score': 0.41142523288726807, 'precision': 1.0, 'recall': 0.25902774930000305, 'auc': 0.8278416395187378, 'prc': 0.7271378636360168, 'seed': 1}
{'time': '02/16/2023 17:47:09', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6071428656578064, 'f1score': 0.4372299611568451, 'precision': 1.0, 'recall': 0.27986109256744385, 'auc': 0.8155470490455627, 'prc': 0.7069096565246582, 'seed': 1}
{'time': '02/16/2023 17:51:06', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.5555555820465088, 'f1score': 0.4726007878780365, 'precision': 1.0, 'recall': 0.30943629145622253, 'auc': 0.7753772735595703, 'prc': 0.6421071290969849, 'seed': 1}
{'time': '02/16/2023 17:55:03', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.488095223903656, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7095025181770325, 'prc': 0.5428210496902466, 'seed': 1}
{'time': '02/16/2023 17:59:53', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4921259582042694, 'precision': 1.0, 'recall': 0.3263889253139496, 'auc': 0.7586262822151184, 'prc': 0.5760169625282288, 'seed': 1}
{'time': '02/16/2023 18:04:45', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.48351648449897766, 'f1score': 0.4920634925365448, 'precision': 1.0, 'recall': 0.3263889253139496, 'auc': 0.8114962577819824, 'prc': 0.6909307241439819, 'seed': 1}
{'time': '02/16/2023 18:11:44', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.4888888895511627, 'f1score': 0.4951455891132355, 'precision': 1.0, 'recall': 0.3290598392486572, 'auc': 0.7775000333786011, 'prc': 0.6407233476638794, 'seed': 1}
{'time': '02/16/2023 18:20:58', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.47252747416496277, 'f1score': 0.47869250178337097, 'precision': 1.0, 'recall': 0.31468620896339417, 'auc': 0.7358108162879944, 'prc': 0.5285003781318665, 'seed': 1}
{'time': '02/16/2023 18:26:36', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.47777777910232544, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7468209862709045, 'prc': 0.5854593515396118, 'seed': 1}
{'time': '02/16/2023 18:32:15', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.5384615659713745, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7622861862182617, 'prc': 0.6417369842529297, 'seed': 1}
{'time': '02/16/2023 18:37:50', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.4736842215061188, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7448060512542725, 'prc': 0.585058331489563, 'seed': 1}
{'time': '02/16/2023 18:46:18', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.47058823704719543, 'f1score': 0.49704721570014954, 'precision': 1.0, 'recall': 0.3307291865348816, 'auc': 0.743584156036377, 'prc': 0.6008954644203186, 'seed': 1}
{'time': '02/16/2023 18:54:39', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.47999998927116394, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7423111796379089, 'prc': 0.5532650947570801, 'seed': 1}
{'time': '02/16/2023 18:56:27', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6931818127632141, 'f1score': 0.27368155121803284, 'precision': 1.0, 'recall': 0.15856482088565826, 'auc': 0.8682851791381836, 'prc': 0.8008430600166321, 'seed': 2}
{'time': '02/16/2023 18:58:15', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6117647290229797, 'f1score': 0.3513205051422119, 'precision': 1.0, 'recall': 0.21445105969905853, 'auc': 0.8083391189575195, 'prc': 0.6763056516647339, 'seed': 2}
{'time': '02/16/2023 19:00:50', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.5185185074806213, 'f1score': 0.476664274930954, 'precision': 1.0, 'recall': 0.31290850043296814, 'auc': 0.7392546534538269, 'prc': 0.5733579993247986, 'seed': 2}
{'time': '02/16/2023 19:04:55', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4790952205657959, 'precision': 1.0, 'recall': 0.3151041865348816, 'auc': 0.8274221420288086, 'prc': 0.6982759833335876, 'seed': 2}
{'time': '02/16/2023 19:10:19', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.5698924660682678, 'f1score': 0.4881264269351959, 'precision': 1.0, 'recall': 0.3229166567325592, 'auc': 0.8030408024787903, 'prc': 0.674551248550415, 'seed': 2}
{'time': '02/16/2023 19:15:38', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4850212037563324, 'precision': 1.0, 'recall': 0.3202160596847534, 'auc': 0.7412998676300049, 'prc': 0.5951775908470154, 'seed': 2}
{'time': '02/16/2023 19:19:02', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.5227272510528564, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7610085606575012, 'prc': 0.5829697847366333, 'seed': 2}
{'time': '02/16/2023 19:27:43', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.4683544337749481, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7521229982376099, 'prc': 0.6056283712387085, 'seed': 2}
{'time': '02/16/2023 19:35:16', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.4680851101875305, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.739757776260376, 'prc': 0.5631357431411743, 'seed': 2}
{'time': '02/16/2023 19:45:27', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.4479166567325592, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7206488251686096, 'prc': 0.5370302796363831, 'seed': 2}
{'time': '02/16/2023 19:51:51', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.5057471394538879, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7534350752830505, 'prc': 0.5715985894203186, 'seed': 2}
{'time': '02/16/2023 20:00:27', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.45098039507865906, 'f1score': 0.49704721570014954, 'precision': 1.0, 'recall': 0.3307291865348816, 'auc': 0.7373606562614441, 'prc': 0.5690671801567078, 'seed': 2}
{'time': '02/16/2023 20:13:54', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.5161290168762207, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7396519780158997, 'prc': 0.5438113808631897, 'seed': 2}
{'time': '02/16/2023 20:32:26', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.4931506812572479, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7622442841529846, 'prc': 0.590514600276947, 'seed': 2}
{'time': '02/16/2023 20:34:16', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.729411780834198, 'f1score': 0.34815821051597595, 'precision': 1.0, 'recall': 0.2113095074892044, 'auc': 0.8852248787879944, 'prc': 0.7996154427528381, 'seed': 3}
{'time': '02/16/2023 20:37:25', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6025640964508057, 'f1score': 0.38625073432922363, 'precision': 1.0, 'recall': 0.2400793582201004, 'auc': 0.8353056907653809, 'prc': 0.7491351962089539, 'seed': 3}
{'time': '02/16/2023 20:39:56', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.5568181872367859, 'f1score': 0.4666077792644501, 'precision': 1.0, 'recall': 0.30439814925193787, 'auc': 0.7756973505020142, 'prc': 0.6465986967086792, 'seed': 3}
{'time': '02/16/2023 20:42:20', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.4845360815525055, 'f1score': 0.4790472090244293, 'precision': 1.0, 'recall': 0.3151041865348816, 'auc': 0.7429589033126831, 'prc': 0.6011224985122681, 'seed': 3}
{'time': '02/16/2023 20:46:40', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.4845360815525055, 'f1score': 0.49409446120262146, 'precision': 1.0, 'recall': 0.328125, 'auc': 0.7855245471000671, 'prc': 0.6373780369758606, 'seed': 3}
{'time': '02/16/2023 20:52:23', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.4791666567325592, 'f1score': 0.4881264269351959, 'precision': 1.0, 'recall': 0.3229166865348816, 'auc': 0.7409125566482544, 'prc': 0.5736048221588135, 'seed': 3}
{'time': '02/16/2023 20:55:42', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.4555555582046509, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7126234769821167, 'prc': 0.5373601317405701, 'seed': 3}
{'time': '02/16/2023 21:00:25', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.4536082446575165, 'f1score': 0.49704721570014954, 'precision': 1.0, 'recall': 0.3307291865348816, 'auc': 0.7198161482810974, 'prc': 0.5429880619049072, 'seed': 3}
{'time': '02/16/2023 21:05:23', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.478723406791687, 'f1score': 0.48799994587898254, 'precision': 1.0, 'recall': 0.3229166567325592, 'auc': 0.775180995464325, 'prc': 0.6192018389701843, 'seed': 3}
{'time': '02/16/2023 21:10:41', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.4482758641242981, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7679349780082703, 'prc': 0.6220414638519287, 'seed': 3}
{'time': '02/16/2023 21:21:37', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.43209877610206604, 'f1score': 0.4925372898578644, 'precision': 1.0, 'recall': 0.32679739594459534, 'auc': 0.7481709718704224, 'prc': 0.5692181587219238, 'seed': 3}
{'time': '02/16/2023 21:27:08', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7843663692474365, 'prc': 0.6558468341827393, 'seed': 3}
{'time': '02/16/2023 21:35:23', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.4268292784690857, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7123364210128784, 'prc': 0.5215566158294678, 'seed': 3}
{'time': '02/16/2023 21:48:20', 'total_params': 1, 'ratio': 14.0, 'loss': 0.0, 'accuracy': 0.5, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7700884342193604, 'prc': 0.6111276149749756, 'seed': 3}
{'time': '02/16/2023 21:51:03', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7727272510528564, 'f1score': 0.3072949945926666, 'precision': 1.0, 'recall': 0.18287037312984467, 'auc': 0.9146435856819153, 'prc': 0.86451256275177, 'seed': 4}
{'time': '02/16/2023 21:53:31', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6785714030265808, 'f1score': 0.3793473243713379, 'precision': 1.0, 'recall': 0.23472221195697784, 'auc': 0.8272392153739929, 'prc': 0.7087360620498657, 'seed': 4}
{'time': '02/16/2023 21:56:04', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.5365853905677795, 'f1score': 0.46577775478363037, 'precision': 1.0, 'recall': 0.30362656712532043, 'auc': 0.7745389938354492, 'prc': 0.6689402461051941, 'seed': 4}
{'time': '02/16/2023 21:59:21', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.5696202516555786, 'f1score': 0.4717382490634918, 'precision': 1.0, 'recall': 0.3090277910232544, 'auc': 0.7977086305618286, 'prc': 0.691865861415863, 'seed': 4}
{'time': '02/16/2023 22:03:23', 'total_params': 1, 'ratio': 5.0, 'loss': 0.0, 'accuracy': 0.5353535413742065, 'f1score': 0.4480039179325104, 'precision': 1.0, 'recall': 0.2899305522441864, 'auc': 0.8099173307418823, 'prc': 0.7055099606513977, 'seed': 4}
{'time': '02/16/2023 22:08:01', 'total_params': 1, 'ratio': 6.0, 'loss': 0.0, 'accuracy': 0.5333333611488342, 'f1score': 0.48406293988227844, 'precision': 1.0, 'recall': 0.3194444477558136, 'auc': 0.7793777585029602, 'prc': 0.6163121461868286, 'seed': 4}
{'time': '02/16/2023 22:14:51', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.450549453496933, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7538038492202759, 'prc': 0.6101964116096497, 'seed': 4}
{'time': '02/16/2023 22:20:28', 'total_params': 1, 'ratio': 8.0, 'loss': 0.0, 'accuracy': 0.5308641791343689, 'f1score': 0.47697439789772034, 'precision': 1.0, 'recall': 0.3133169710636139, 'auc': 0.7818167805671692, 'prc': 0.6617076992988586, 'seed': 4}
{'time': '02/16/2023 22:25:41', 'total_params': 1, 'ratio': 9.0, 'loss': 0.0, 'accuracy': 0.48571428656578064, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7318878173828125, 'prc': 0.5153917074203491, 'seed': 4}
{'time': '02/16/2023 22:31:49', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.44736841320991516, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7108725905418396, 'prc': 0.5337182283401489, 'seed': 4}
{'time': '02/16/2023 22:37:44', 'total_params': 1, 'ratio': 11.0, 'loss': 0.0, 'accuracy': 0.4615384638309479, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7426638603210449, 'prc': 0.5682345032691956, 'seed': 4}
{'time': '02/16/2023 22:45:52', 'total_params': 1, 'ratio': 12.0, 'loss': 0.0, 'accuracy': 0.5051546096801758, 'f1score': 0.49109482765197754, 'precision': 1.0, 'recall': 0.3255208432674408, 'auc': 0.7740195989608765, 'prc': 0.6251966953277588, 'seed': 4}
{'time': '02/16/2023 23:07:06', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.4878048896789551, 'f1score': 0.4960629642009735, 'precision': 1.0, 'recall': 0.3298611342906952, 'auc': 0.7665080428123474, 'prc': 0.5916018486022949, 'seed': 4}
