Name,binding
24.0|VRC_310_cohort_donor_16,stem
V3-1G10,stem
CR6329,stem
SFV009_3D04,stem
A66,stem
H3N2_229-14-2F03_,stem
35.0|Donor_H,stem
CR6344,stem
148.0|Crucell_donors,stem
100.0|Donor_H,stem
H1N1_301-16-IgG-2B04_,stem
D2_H1-1_H3-1,stem
149.0|Genentech_donors,stem
132.0|VRC_donor_429,stem
1130,stem
87.0|PCWilson_donor_296,stem
53.0|PCWilson_donor_236,stem
CR6343,stem
G17,stem
Mab3.1,stem
67.0|VRC_310_cohort,stem
D1_H1-17_H3-14,stem
3809,stem
CS3V,stem
SFV009_3A01,stem
D8,stem
V3-2G6,stem
81.0|Lanzavecchia_donor_FISW,stem
SFV009_3G01,stem
H1N1_294-16-IgA-1E04_,stem
85.0|PCWilson_donor_241,stem
CR6325,stem
106.0|Lanzavecchia_donor_FISW,stem
1.0|VRC_310_cohort_donor_31,stem
241-14-IgA_2F04,stem
136.0|VRC_310_cohort,stem
147.0|PCWilson_donor_1000,stem
68.0|VRC_310_cohort,stem
037-10_4A01,stem
131.0|Melbourne_donor_W85,stem
1000-3D04,stem
241-14-IgA_2F06,stem
CR6261,stem
148,stem
I8-1B6,stem
137.0|VRC_310_cohort,stem
145.0|VRC_310_cohort,stem
PN-SIA28,stem
2.0|VRC_310_cohort_donor_54,stem
MEDI8852-V,stem
CR6323_,stem
241-14-IgA_1D05,stem
71.0|Adachi_donors,stem
H1N1_296-16-IgG-2A04_,stem
CT149,stem
CR8020,stem
H1N1_300-16-IgG-2E03_,stem
LAH13V,stem
H3N2_235-15-1B06_,stem
H3N2_228-14-2D04_,stem
CS10V,stem
SFV009_2A06,stem
15.0|VRC_310_cohort_donor_31,stem
CS12V,stem
I5-24,stem
5.0|VRC_310_cohort_donor_01,stem
72.0|VRC_315-53,stem
429B01,stem
98.0|Donor_H,stem
V3-3D2,stem
H3N2_228-14-2E05_,stem
H1N1_294-16-IgG-1G04_,stem
36.89,stem
LAH4V,stem
52.0|VRC_315-09,stem
73.0|VRC_315-54,stem
H1N1_301-16-IgG-1A04_,stem
25.0|Lanzavecchia_donor_FISW,stem
CR6342,stem
105.0|Lanzavecchia_donor_FISW,stem
CR6334,stem
141.0|VRC_310_cohort,stem
H1N1_296-16-IgG-2D02_,stem
CR6327,stem
93.0|Canada_patients,stem
39.18_B11,stem
CR6331,stem
75.0|PCWilson_donor_018,stem
H1N1_296-16-IgA-2E02_,stem
2803,stem
H1N1_301-16-IgA-1F05_,stem
S9-3-37,stem
I4-128,stem
550C06,stem
4.0|VRC_310_cohort_donor_16,stem
74.0|PCWilson_donor_014,stem
6.0|VRC_310_cohort_donor_56,stem
H1N1_300-16-IgG-2C03_,stem
H1N1_294-16-IgG-2F05_,stem
H40,stem
SFV009_3G03,stem
CR6323,stem
118.0|Melbourne_donor_R95,head
4D20,head
84.0|PCWilson_donor_241,head
133.0|Oita_University_donor,head
39.0|PCWilson_donor_SFV019,head
H2214,head
220-14-IgA_1A05,head
H1N1_294-16-IgG-2D01_,head
19.0|PCWilson_donor_220,head
H1N1_294-16-IgG-1A05_,head
H1N1_300-16-IgG-2E02_,head
7A13,head
79.0|Lanzavecchia_donor_FISW,head
42.0|Lanzavecchia_donor_LPAF,head
28.0|PCWilson_donor_240,head
SFV019_2A02,head
128.0|Melbourne_donor_W85,head
18.0|PCWilson_donor_SFV015,head
V4-17,head
4640,head
23.0|PCWilson_donor_SFV015,head
5J8,head
7.0|Donor_H,head
61.0|Melbourne_donor_K77,head
14.0|Donor_H,head
117.0|Melbourne_donor_R95,head
86.0|PCWilson_donor_241,head
2D1,head
3365,head
29.0|PCWilson_donor_236,head
H1N1_294-16-IgG-1D04_,head
135.0|Harrison_donor_S1,head
11J19,head
H3N2_229-14-1C01_,head
1431-B,head
CL6649,head
SFV015_2F06,head
97.0|PCWilson_donor_150055-037,head
8M2,head
1F1,head
78.0|Lanzavecchia_donor_FISW,head
2897,head
107.0|Lanzavecchia_donor_FISW,head
3.0|Donor_H,head
1431-A,head
51.0|1974_donor,head
124.0|Melbourne_donor_W85,head
8F8,head
220-14-IgA_2C02,head
2B12,head
2G1,head
236-14-IgA_2A03,head
116.0|Melbourne_donor_R95,head
27.0|Harrison_donors,head
H2526,head
127.0|Melbourne_donor_W85,head
10.0|Harrison_donor_TIV01,head
89.0|Melbourne_donor_K77,head
3652,head
13.0|Melbourne_donor_W85,head
77.0|Lanzavecchia_donor_FISW,head
SFV009_2G01,head
34.0|PCWilson_donor_150055-023,head
4306,head
41.0|Lanzavecchia_donor_FISW,head
80.0|Lanzavecchia_donor_LPAF,head
H1N1_301-16-IgA-1G04_,head
37.0|Melbourne_donor_W85,head
43.0|PCWilson_donor_240,head
SFV018_2D01,head
76.0|PCWilson_donor_047,head
21.0|Melbourne_donor_W85,head
130.0|Melbourne_donor_W85,head
C05,head
95.0|PCWilson_donor_150055-008,head
54.0|PCWilson_donor_SFV015,head
240-14-IgA_2B03,head
119.0|Melbourne_donor_R95,head
1I20,head
134.0|Canada_patients,head
64.0|Melbourne_donor_W85,head
150.0|Harrison_donors,head
50.0|Melbourne_donor_W85,head
H3N2_229-14-2E06_,head
3.0|Crowe_donor_47,head
16.0|Melbourne_donor_R95,head
22.0|Crowe_donor_269,head
126.0|Melbourne_donor_W85,head
40.0|Lanzavecchia_donor_FISW,head
113.0|Melbourne_donor_K77,head
8.0|Donor_H,head
SFV020_2C05,head
82.0|Crucell_donors,head
