,Id,binding
0,CS10V,stem
1,CS12V,stem
2,CS3V,stem
3,LAH13V,stem
4,LAH3V,stem
5,LAH4V,stem
6,LAH5V,stem
7,315-02-1A05,stem
8,315-02-1C07,stem
9,315-02-1E04,stem
10,315-02-1F07,stem
11,315-04-1B12,stem
12,315-04-1C10,stem
13,315-04-1D02,stem
14,315-05-2A09,stem
15,315-05-2D04,stem
16,315-09-1B12,stem
17,315-13-1B02,stem
18,315-18-1A10,stem
19,315-19-5B04,stem
20,315-21-1A01,stem
21,315-21-1A10,stem
22,315-24-1E11,stem
23,315-24-1F02,stem
24,315-24-1G07,stem
25,315-27-1C08,stem
26,315-27-1D08,stem
27,315-53-1A09,stem
28,315-53-1B06,stem
29,315-54-1G05,stem
30,315-54-1G07,stem
31,008_10_6G06,stem
32,013_10_2D04,stem
33,013_10_3D01,stem
34,013_10_3G02,stem
35,013_10_4B06,stem
36,013_10_4C01,stem
37,014_10_1D03,stem
38,014_10_1F06,stem
39,014_10_3C05,stem
40,014_10_3G02,stem
41,017_10_3G05,stem
42,018_10_4D03,stem
43,018_10_4D06,stem
44,019_10_3F02,stem
45,024_10_3D06,stem
46,029_09_4A01,stem
47,030_09_1A06,stem
48,030_09_1E04,stem
49,030_09_1E05,stem
50,030_09_2A03,stem
51,030_09_2B03,stem
52,030_09_2G03,stem
53,030_09_3B01,stem
54,030_09_3B03,stem
55,030_09_3B05,stem
56,030_09_3E05,stem
57,030_09M_1D06,stem
58,030M_10_1B03,stem
59,030M_10_1F03,stem
60,039_10_4D05,stem
61,039_10_5F06,stem
62,039_10_5G02,stem
63,039_10_5G05,stem
64,045_09_1A03,stem
65,045_09_2B03,stem
66,045_09_2B06,stem
67,045_09_5G02,stem
68,047_09_1A05,stem
69,047_09_1C05,stem
70,047_09_1F05,stem
71,047_09_1G05,stem
72,047_09_4B02,stem
73,047_09_4D05,stem
74,047_09_4E01,stem
75,047_09_4F01,stem
76,047_09_4F04,stem
77,047_10M_2D03,stem
78,051_09_4A03,stem
79,051_09_4B02,stem
80,051_09_4C06,stem
81,051_09_4E06,stem
82,051_09_5A01,stem
83,051_09_5A02,stem
84,051_09_5C01,stem
85,051_09_5E03,stem
86,051_09M_1E02,stem
87,051_10_3D02,stem
88,SFV009_5C01,stem
89,SFV009_6C01,stem
90,SFV019_4E03,stem
91,01.a.44-UCA,stem
92,16.a.26-UCA,stem
93,315-09-1B12-UCA,stem
94,315-54-1G07-UCA,stem
95,FI370V,stem
96,FI442V,stem
97,FI6-370V,stem
98,FI6v1,stem
99,FI6v3,stem
100,CR9114,stem
101,037-10_4A01,stem
102,220-14-IgG_1A05,stem
103,236-14-IgA_1F06,stem
104,236-14-IgG_1A02,stem
105,236-14-IgG_1D01,stem
106,236-14-IgG_1F01,stem
107,237-14-IgG_1A04,stem
108,237-14-IgG_1D01,stem
109,240-14-IgG_1C04,stem
110,240-14-IgG_2F02,stem
111,241-14-IgA_1D05,stem
112,241-14-IgA_1E04,stem
113,241-14-IgA_2E06,stem
114,241-14-IgA_2F04,stem
115,241-14-IgA_2F06,stem
116,241-14-IgG_2A06,stem
117,H1N1_294-16-IgA-1E04_,stem
118,H1N1_294-16-IgG-1G04_,stem
119,H1N1_294-16-IgG-2F05_,stem
120,H1N1_296-16-IgA-2E02_,stem
121,H1N1_296-16-IgG-2A02_,stem
122,H1N1_296-16-IgG-2A04_,stem
123,H1N1_296-16-IgG-2D02_,stem
124,H1N1_296-16-IgG-2G04_,stem
125,H1N1_300-16-IgG-2C03_,stem
126,H1N1_300-16-IgG-2E03_,stem
127,H1N1_301-16-IgA-1F05_,stem
128,H1N1_301-16-IgG-1A04_,stem
129,H1N1_301-16-IgG-2B04_,stem
130,H3N2_228-14-2D04_,stem
131,H3N2_228-14-2E05_,stem
132,H3N2_229-14-2F03_,stem
133,H3N2_235-15-1B06_,stem
134,13001-41_5E04,stem
135,3I14,stem
136,150055-001_2E03,stem
137,150055-005_2D06,stem
138,150055-008_3D02,stem
139,150055-015_1A03,stem
140,150055-023_2A01,stem
141,150055-023_5G04,stem
142,150055-032_2B03,stem
143,T1-3B,stem
144,T2-10B,stem
145,T2-5A,stem
146,T2-5C,stem
147,T2-6C,stem
148,T2-8C,stem
149,T3-1B,stem
150,T3-5D,stem
151,01.a.44_Heavy,stem
152,01.k.01_Heavy,stem
153,16.a.26_Heavy,stem
154,31.a.83_Heavy,stem
155,31.b.09_Heavy,stem
156,31.d.01_Heavy,stem
157,31.f.01_Heavy,stem
158,54.a.39_Heavy,stem
159,54.a.84_Heavy,stem
160,54.e.01_Heavy,stem
161,54.f.01_Heavy,stem
162,56.a.09_Heavy,stem
163,56.h.01_Heavy,stem
164,FI2013-V,stem
165,FI4013-V,stem
166,FI6038-V,stem
167,FY-BP1-V,stem
168,FY-UCA-V,stem
169,FY1-V,stem
170,FY18-V,stem
171,FY5-V,stem
172,FY6-V,stem
173,MEDI8852-V,stem
174,10A14,stem
175,5B6,stem
176,8D4,stem
177,8F24,stem
178,1130,stem
179,148,stem
180,1731-A,stem
181,1731-B,stem
182,1850-B,stem
183,1850A,stem
184,2803,stem
185,3809,stem
186,633,stem
187,SFV005-2G02,stem
188,SFV009_2A06,stem
189,SFV009_3A01,stem
190,SFV009_3D04,stem
191,SFV009_3G01,stem
192,SFV009_3G03,stem
193,R95-1E03,stem
194,W85-3F06,stem
195,429B01,stem
196,429F08,stem
197,I4-128,stem
198,I5-24,stem
199,I8-1B6,stem
200,V3-1G10,stem
201,V3-2C3,stem
202,V3-2G6,stem
203,V3-3D2,stem
204,310-18A3,stem
205,310-18C11,stem
206,310-18F2,stem
207,310-18G3,stem
208,1000-3D04,stem
209,1009-3B05,stem
210,1009-3E06,stem
211,70-1F02,stem
212,70-5B03,stem
213,CR6261,stem
214,CR6323,stem
215,CR8020,stem
216,CR6343,stem
217,CR6262,stem
218,CR6332,stem
219,CR6329,stem
220,CR6344,stem
221,CR6327,stem
222,CR6331,stem
223,CR6323_,stem
224,CR6334,stem
225,CR6342,stem
226,CR6325,stem
227,F10,stem
228,A66,stem
229,G17,stem
230,D7,stem
231,H40,stem
232,39.18_B11,stem
233,36.89,stem
234,39.29NCv1,stem
235,81.39_SVSH-NYP,stem
236,Mab3.1,stem
237,D1_H1-17_H3-14,stem
238,D2_H1-1_H3-1,stem
239,S9-3-37,stem
240,PN-SIA28,stem
241,CT149,stem
242,007_11_4A04,head
243,007_11_4B04,head
244,007_11_4B06,head
245,007_11_4E01,head
246,007_11_4E05,head
247,007_11_4F02,head
248,007_11_4G01,head
249,008_10_1E03,head
250,008_10_1E04,head
251,008_10_1F01,head
252,008_10_1F05,head
253,008_10_5E03,head
254,008_10_5E05,head
255,008_10_5G04,head
256,008_10_5G05,head
257,008_10_6D04,head
258,009_10_2A04,head
259,013_10_2B05,head
260,013_10_2G01,head
261,014_10_1B04,head
262,014_10_1C04,head
263,014_10_1D01,head
264,014_10_1G01,head
265,014_10_3A02,head
266,014_10_3A06,head
267,014_10_3G04,head
268,014_10_3G05,head
269,017_10_4D02,head
270,017_10_4E03,head
271,017_10_5A01,head
272,019_10_1C04,head
273,019_10_1E06,head
274,019_10_1F05,head
275,019_10_4A03,head
276,024_10_4C04,head
277,024_10_4D03,head
278,029_09_3A02,head
279,029_09_3F04,head
280,039_10_5A01,head
281,039_10_5E03,head
282,042_10_2D02,head
283,042_10_2E01,head
284,042_10_4B01,head
285,042_10_4B02,head
286,042_10_4B04,head
287,045_09_1D03,head
288,045_09_2B05,head
289,045_09_2E02,head
290,045_09_5F01,head
291,047_09_1A02,head
292,047_09_4E02,head
293,051_09_4B03,head
294,051_09_5B06,head
295,051_10_2A05,head
296,SFV015_3G04,head
297,SFV018_4F02,head
298,SFV019_1F03,head
299,SFV019_4A01,head
300,SFV019_4C02,head
301,SFV019_4E01,head
302,SFV020_5A03,head
303,SFV020_5B04,head
304,SFV020_5C05,head
305,34B5,head
306,46B8,head
307,FISW-a.01,head
308,FISW-b.01,head
309,FISW-c.01,head
310,FISW-d.01,head
311,FISW-e.01,head
312,FISW-e.02,head
313,FISW-e.03,head
314,FISW-e.04,head
315,FISW-f.01,head
316,FISW-g.01,head
317,FISW-h.01,head
318,FISW-i.01,head
319,FISW-j.01,head
320,FISW-k.01,head
321,FISW-l.01,head
322,FISW-l.02,head
323,FISW-m.01,head
324,FISW-n.01,head
325,FISW-n.02,head
326,FISW-o.01,head
327,FISW-o.02,head
328,FX-a.01,head
329,LPAF-a.01,head
330,LPAF-a.02,head
331,LPAF-a.03,head
332,LPAF-a.05,head
333,LPAF-a.06,head
334,CR8033,head
335,CR8059,head
336,CR8071,head
337,220-14-IgA_1A01,head
338,220-14-IgA_1A04,head
339,220-14-IgA_1A05,head
340,220-14-IgA_1D01,head
341,220-14-IgA_1D06,head
342,220-14-IgA_1F03,head
343,220-14-IgA_1F04,head
344,220-14-IgA_1G04,head
345,220-14-IgA_2A02,head
346,220-14-IgA_2C02,head
347,220-14-IgA_2D05,head
348,236-14-IgA_1A02,head
349,236-14-IgA_1C03,head
350,236-14-IgA_1C04,head
351,236-14-IgA_2A03,head
352,236-14-IgA_2A04,head
353,236-14-IgA_2B01,head
354,236-14-IgG_1D06,head
355,236-14-IgG_1G02,head
356,240-14-IgA_1A01,head
357,240-14-IgA_1A03,head
358,240-14-IgA_1B04,head
359,240-14-IgA_1C06,head
360,240-14-IgA_1E03,head
361,240-14-IgA_2B03,head
362,240-14-IgA_2F05,head
363,240-14-IgG_1A06,head
364,240-14-IgG_1E01,head
365,240-14-IgG_1F05,head
366,240-14-IgG_2A05,head
367,240-14-IgG_2B02,head
368,240-14-IgG_2D05,head
369,240-14-IgG_2G04,head
370,241-14-IgA_1A01,head
371,241-14-IgG_2B05,head
372,241-14-IgG_2D06,head
373,H1N1_294-16-IgG-1A05_,head
374,H1N1_294-16-IgG-1D04_,head
375,H1N1_294-16-IgG-1F05_,head
376,H1N1_294-16-IgG-2D01_,head
377,H1N1_300-16-IgG-2E02_,head
378,H1N1_301-16-IgA-1G04_,head
379,H3N2_229-14-1C01_,head
380,H3N2_229-14-2E06_,head
381,13001-07_4B03,head
382,13001-07_4D05,head
383,13001-07_4E02,head
384,13001-07_5B05,head
385,13001-07_5D03,head
386,13001-07_5F01,head
387,13001-07_5G01,head
388,13001-22_3E05,head
389,C05,head
390,047-09_4G02,head
391,SFV009_2G01,head
392,SFV009_3F05,head
393,SFV015_1B04,head
394,SFV015_1D05,head
395,SFV015_2A06,head
396,SFV015_2C03,head
397,SFV015_2C06,head
398,SFV015_2E06,head
399,SFV015_2F04,head
400,SFV015_2F06,head
401,SFV015_2G04,head
402,SFV015_3G02,head
403,SFV018_2D01,head
404,SFV019_4C05,head
405,SFV019_4D02,head
406,SFV020_2C05,head
407,150055-003_1C03,head
408,150055-005_2D02,head
409,150055-008_1C03,head
410,150055-008_1E05,head
411,150055-008_1F01,head
412,150055-008_3A05,head
413,150055-008_3F01,head
414,150055-008_3G03,head
415,150055-010_2E06,head
416,150055-010_2G01,head
417,150055-011_2F06,head
418,150055-015_1B04,head
419,150055-015_1B05,head
420,150055-015_1C03,head
421,150055-015_1C06,head
422,150055-015_1D02,head
423,150055-015_1F05,head
424,150055-015_1G03,head
425,150055-015_2C01,head
426,150055-015_2E05,head
427,150055-023_2A05,head
428,150055-023_2E04,head
429,150055-023_5A02,head
430,150055-023_5B02,head
431,150055-023_5B04,head
432,150055-023_5C02,head
433,150055-023_5C05,head
434,150055-023_5D02,head
435,150055-023_5G01,head
436,150055-029_2B03,head
437,150055-029_3A06,head
438,150055-029_3B06,head
439,150055-029_3E03,head
440,150055-029_3F03,head
441,150055-032_2C03,head
442,150055-032_2D05,head
443,150055-032_3C06,head
444,150055-032_3G04,head
445,150055-032_4B04,head
446,150055-032_4F03,head
447,150055-037_2D04,head
448,150055-037_2E02,head
449,150055-037_2G02,head
450,150055-037_4C06,head
451,150055-037_4F05,head
452,100F4,head
453,3C11,head
454,65C6,head
455,T1-9B,head
456,T2-11C,head
457,T2-12A,head
458,T2-5D,head
459,T2-6A,head
460,T2-7D,head
461,T2-8A,head
462,T2-9A,head
463,T3-3C,head
464,T3-4B,head
465,F022-177v,head
466,F044-152v,head
467,F005-126,head
468,5J8,head
469,11J19,head
470,2G1,head
471,7A13,head
472,8F8,head
473,8M2,head
474,2K11,head
475,2O10,head
476,4A10,head
477,4K8,head
478,1431-A,head
479,1431-B,head
480,2897,head
481,3365,head
482,3555-A,head
483,3555-B,head
484,3652,head
485,4306,head
486,4640,head
487,SFV015_1A01,head
488,SFV015_1A03,head
489,SFV015_1A04,head
490,SFV015_2A01,head
491,SFV018_2D03,head
492,SFV019_2A02,head
493,SFV019_2A05,head
494,SFV019_2F05,head
495,SFV020_3G06,head
496,K77-1C02,head
497,K77-1C06,head
498,K77-1G03,head
499,K77-1G12,head
500,K77-1H02,head
501,K77-1H05,head
502,K77-2B06,head
503,K77-2C08,head
504,K77-2D09,head
505,K77-2D11,head
506,K77-2E02,head
507,K77-2H12,head
508,R95-1B11,head
509,R95-1C01,head
510,R95-1D05,head
511,R95-1D08,head
512,R95-1D10,head
513,R95-1E05,head
514,R95-1E06,head
515,R95-1E07,head
516,R95-1E12,head
517,R95-1F04,head
518,R95-1H08,head
519,R95-1H09,head
520,R95-2A08,head
521,R95-2C02,head
522,W85-1A06,head
523,W85-1A07,head
524,W85-1B01,head
525,W85-1C08,head
526,W85-1C09,head
527,W85-1D01,head
528,W85-1E03,head
529,W85-2B04,head
530,W85-2C03,head
531,W85-2D09,head
532,W85-3E10,head
533,W85-3G03,head
534,H0678,head
535,H1214,head
536,H1228,head
537,H1238,head
538,H2227,head
539,F022-360,head
540,F026-146,head
541,F026-427,head
542,F045-092,head
543,6639,head
544,6643,head
545,6652,head
546,9174,head
547,I1,head
548,I2,head
549,I20,head
550,UCA,head
551,CL6649,head
552,IF1A10,head
553,IF1A11,head
554,IF1E1,head
555,V2-36,head
556,V2-7,head
557,V4-17,head
558,H2214,head
559,1000-3E01,head
560,1009-3B06,head
561,1009-3E04,head
562,1009-3F01,head
563,EM-4C04,head
564,1F1,head
565,1I20,head
566,2B12,head
567,2D1,head
568,4D20,head
569,FluA-151,head
570,FluA-151_Sib1,head
571,FluA-151_Sib2,head
572,FluA-151_Sib3,head
573,FluA-151_Sib4,head
574,FluA-151_Sib5,head
575,FluA-151_Sib6,head
576,FluA-151_Sib7_IgA,head
577,FluA-151_UCA,head
578,FluA-152,head
579,FluA-153,head
580,CH65,head
581,CH67,head
582,641_I-9,head
583,H2526,head
584,310-18A8,others
585,310-18B11,others
586,310-18B12,others
587,310-18E10,others
588,310-18E2,others
589,310-18G7,others
590,008_10_1C03,others
591,008_10_5E02,others
592,008_10_6C04,others
593,009_10_1G06,others
594,009_10_2D04,others
595,009_10_2F01,others
596,009_10_2G06,others
597,013_10_2B02,others
598,013_10_3F02,others
599,013_10_4A03,others
600,014_10_1D05,others
601,014_10_1G03,others
602,014_10_1G06,others
603,014_10_3C04,others
604,014_10_3F03,others
605,017_10_5E01,others
606,024_10_4C05,others
607,024_10_4G04,others
608,029_09_2A06,others
609,039_10_4B04,others
610,039_10_4B05,others
611,039_10_4D04,others
612,039_10_4G01,others
613,039_10_5B02,others
614,039_10_5C05,others
615,042_10_2B05,others
616,042_10_2C02,others
617,042_10_2D01,others
618,042_10_4C01,others
619,042_10_4C06,others
620,042_10_4D02,others
621,045_09_1A01,others
622,045_09_1F04,others
623,045_09_1F06,others
624,045_09_1G05,others
625,045_09_2A03,others
626,051_09_4C02,others
627,051_09_4D03,others
628,051_09_4G01,others
629,051_09_5D01,others
630,051_10_2B05,others
631,051_10_4G03,others
632,SFV015_1E04,others
633,SFV015_1F04,others
634,SFV018_4C01,others
635,SFV018_4D01,others
636,01.a.01_Heavy,others
637,01.a.03_Heavy,others
638,01.a.06_Heavy,others
639,01.a.07_Heavy,others
640,01.a.09_Heavy,others
641,01.a.10_Heavy,others
642,01.a.12_Heavy,others
643,01.a.13_Heavy,others
644,01.a.21_Heavy,others
645,01.a.22_Heavy,others
646,01.a.23_Heavy,others
647,01.a.24_Heavy,others
648,01.a.26_Heavy,others
649,01.a.27_Heavy,others
650,01.a.28_Heavy,others
651,01.a.29_Heavy,others
652,01.a.30_Heavy,others
653,01.a.32_Heavy,others
654,01.a.33_Heavy,others
655,01.a.34_Heavy,others
656,01.a.35_Heavy,others
657,01.a.36_Heavy,others
658,01.a.37_Heavy,others
659,01.a.38_Heavy,others
660,01.a.39_Heavy,others
661,01.a.40_Heavy,others
662,01.a.41_Heavy,others
663,01.a.42_Heavy,others
664,01.a.43_Heavy,others
665,01.a.46_Heavy,others
666,01.a.47_Heavy,others
667,01.a.48_Heavy,others
668,01.a.49_Heavy,others
669,01.a.50_Heavy,others
670,01.ac.01_Heavy,others
671,01.ad.01_Heavy,others
672,01.ae.01_Heavy,others
673,01.d.01_Heavy,others
674,01.d.02_Heavy,others
675,01.d.03_Heavy,others
676,01.d.04_Heavy,others
677,01.e.01_Heavy,others
678,01.f.01_Heavy,others
679,01.g.01_Heavy,others
680,01.h.01_Heavy,others
681,01.h.02_Heavy,others
682,01.i.01_Heavy,others
683,01.j.01_Heavy,others
684,01.j.02_Heavy,others
685,01.j.03_Heavy,others
686,01.l.01_Heavy,others
687,01.m.01_Heavy,others
688,01.o.02_Heavy,others
689,01.q.01_Heavy,others
690,01.r.01_Heavy,others
691,01.s.01_Heavy,others
692,01.t.01_Heavy,others
693,01.y.01_Heavy,others
694,01.z.01_Heavy,others
695,16.a.01_Heavy,others
696,16.a.02_Heavy,others
697,16.a.03_Heavy,others
698,16.a.04_Heavy,others
699,16.a.21_Heavy,others
700,16.a.32_Heavy,others
701,16.a.36_Heavy,others
702,16.a.37_Heavy,others
703,16.a.38_Heavy,others
704,16.a.41_Heavy,others
705,16.a.43_Heavy,others
706,16.a.44_Heavy,others
707,16.a.45_Heavy,others
708,16.a.46_Heavy,others
709,16.a.49_Heavy,others
710,16.a.50_Heavy,others
711,16.a.51_Heavy,others
712,16.a.52_Heavy,others
713,16.a.53_Heavy,others
714,16.a.54_Heavy,others
715,16.a.55_Heavy,others
716,16.a.56_Heavy,others
717,16.a.57_Heavy,others
718,16.a.59_Heavy,others
719,16.a.60_Heavy,others
720,16.a.61_Heavy,others
721,16.a.67_Heavy,others
722,16.a.69_Heavy,others
723,16.a.70_Heavy,others
724,16.a.73_Heavy,others
725,16.a.74_Heavy,others
726,16.a.76_Heavy,others
727,16.a.77_Heavy,others
728,16.a.78_Heavy,others
729,16.a.79_Heavy,others
730,16.a.80_Heavy,others
731,16.a.81_Heavy,others
732,16.a.82_Heavy,others
733,16.a.83_Heavy,others
734,16.a.84_Heavy,others
735,16.a.85_Heavy,others
736,16.a.86_Heavy,others
737,16.a.87_Heavy,others
738,16.a.91_Heavy,others
739,16.a.92_Heavy,others
740,16.a.93_Heavy,others
741,16.e.02_Heavy,others
742,16.e.03_Heavy,others
743,16.e.06_Heavy,others
744,16.e.13_Heavy,others
745,16.e.14_Heavy,others
746,16.g.01_Heavy,others
747,16.g.02_Heavy,others
748,16.g.03_Heavy,others
749,16.g.04_Heavy,others
750,16.g.06_Heavy,others
751,16.g.08_Heavy,others
752,16.j.01_Heavy,others
753,16.k.01_Heavy,others
754,16.l.01_Heavy,others
755,16.m.01_Heavy,others
756,16.n.01_Heavy,others
757,16.ND.89_Heavy,others
758,16.ND.91_Heavy,others
759,16.ND.92_Heavy,others
760,16.ND.93_Heavy,others
761,16.ND.95_Heavy,others
762,31.a.01_Heavy,others
763,31.a.02_Heavy,others
764,31.a.03_Heavy,others
765,31.a.06_Heavy,others
766,31.a.07_Heavy,others
767,31.a.08_Heavy,others
768,31.a.09_Heavy,others
769,31.a.100_Heavy,others
770,31.a.101_Heavy,others
771,31.a.102_Heavy,others
772,31.a.11_Heavy,others
773,31.a.15_Heavy,others
774,31.a.16_Heavy,others
775,31.a.24_Heavy,others
776,31.a.28_Heavy,others
777,31.a.32_Heavy,others
778,31.a.33_Heavy,others
779,31.a.35_Heavy,others
780,31.a.36_Heavy,others
781,31.a.37_Heavy,others
782,31.a.38_Heavy,others
783,31.a.39_Heavy,others
784,31.a.40_Heavy,others
785,31.a.42_Heavy,others
786,31.a.44_Heavy,others
787,31.a.45_Heavy,others
788,31.a.46_Heavy,others
789,31.a.47_Heavy,others
790,31.a.48_Heavy,others
791,31.a.49_Heavy,others
792,31.a.50_Heavy,others
793,31.a.51_Heavy,others
794,31.a.53_Heavy,others
795,31.a.54_Heavy,others
796,31.a.55_Heavy,others
797,31.a.56_Heavy,others
798,31.a.57_Heavy,others
799,31.a.58_Heavy,others
800,31.a.59_Heavy,others
801,31.a.60_Heavy,others
802,31.a.61_Heavy,others
803,31.a.62_Heavy,others
804,31.a.63_Heavy,others
805,31.a.64_Heavy,others
806,31.a.65_Heavy,others
807,31.a.66_Heavy,others
808,31.a.67_Heavy,others
809,31.a.68_Heavy,others
810,31.a.70_Heavy,others
811,31.a.72_Heavy,others
812,31.a.73_Heavy,others
813,31.a.74_Heavy,others
814,31.a.75_Heavy,others
815,31.a.76_Heavy,others
816,31.a.77_Heavy,others
817,31.a.78_Heavy,others
818,31.a.79_Heavy,others
819,31.a.80_Heavy,others
820,31.a.81_Heavy,others
821,31.a.82_Heavy,others
822,31.a.84_Heavy,others
823,31.a.85_Heavy,others
824,31.a.86_Heavy,others
825,31.a.87_Heavy,others
826,31.a.88_Heavy,others
827,31.a.89_Heavy,others
828,31.a.90_Heavy,others
829,31.a.91_Heavy,others
830,31.a.92_Heavy,others
831,31.a.93_Heavy,others
832,31.a.94_Heavy,others
833,31.a.95_Heavy,others
834,31.a.96_Heavy,others
835,31.a.97_Heavy,others
836,31.a.98_Heavy,others
837,31.a.99_Heavy,others
838,31.b.01_Heavy,others
839,31.b.02_Heavy,others
840,31.b.04_Heavy,others
841,31.b.07_Heavy,others
