**********START:02/18/2023 12:47:17**********
{'time': '02/18/2023 12:47:56', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.5517241358757019, 'precision': 0.8333333134651184, 'recall': 0.29411765933036804, 'auc': 0.7450980544090271, 'prc': 0.7906391620635986, 'seed': 0}
{'time': '02/18/2023 12:48:49', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.6315789222717285, 'precision': 0.9230769276618958, 'recall': 0.375, 'auc': 0.8293750286102295, 'prc': 0.8702248334884644, 'seed': 0}
{'time': '02/18/2023 12:49:47', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.7764706015586853, 'precision': 0.9677419066429138, 'recall': 0.625, 'auc': 0.8871058225631714, 'prc': 0.9262953996658325, 'seed': 0}
{'time': '02/18/2023 12:51:21', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.780701756477356, 'precision': 0.9696969985961914, 'recall': 0.5714285969734192, 'auc': 0.9330357313156128, 'prc': 0.9319567680358887, 'seed': 0}
{'time': '02/18/2023 12:52:51', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.8098591566085815, 'precision': 0.9814814925193787, 'recall': 0.6708860993385315, 'auc': 0.9200320839881897, 'prc': 0.9445183873176575, 'seed': 0}
{'time': '02/18/2023 12:55:06', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.8128654956817627, 'precision': 0.9821428656578064, 'recall': 0.6395348906517029, 'auc': 0.9502052068710327, 'prc': 0.9533822536468506, 'seed': 0}
{'time': '02/18/2023 12:57:09', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.7638190984725952, 'precision': 0.920634925365448, 'recall': 0.5799999833106995, 'auc': 0.8938888907432556, 'prc': 0.9076131582260132, 'seed': 0}
{'time': '02/18/2023 13:00:04', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.8149779438972473, 'precision': 0.8999999761581421, 'recall': 0.7105262875556946, 'auc': 0.9346374869346619, 'prc': 0.9404191970825195, 'seed': 0}
{'time': '02/18/2023 13:02:39', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.82421875, 'precision': 0.9736841917037964, 'recall': 0.632478654384613, 'auc': 0.933161199092865, 'prc': 0.9311321377754211, 'seed': 0}
{'time': '02/18/2023 13:06:12', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8098591566085815, 'precision': 0.9714285731315613, 'recall': 0.6666666865348816, 'auc': 0.9328693747520447, 'prc': 0.9474741220474243, 'seed': 0}
{'time': '02/18/2023 13:06:45', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.5862069129943848, 'precision': 0.6666666865348816, 'recall': 0.2857142984867096, 'auc': 0.5309523940086365, 'prc': 0.6352521181106567, 'seed': 1}
{'time': '02/18/2023 13:07:37', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.7368420958518982, 'precision': 0.7857142686843872, 'recall': 0.47826087474823, 'auc': 0.7902812957763672, 'prc': 0.756024956703186, 'seed': 1}
{'time': '02/18/2023 13:08:37', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.729411780834198, 'precision': 1.0, 'recall': 0.5400000214576721, 'auc': 0.9005714058876038, 'prc': 0.9379259347915649, 'seed': 1}
{'time': '02/18/2023 13:10:10', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.7982456088066101, 'precision': 1.0, 'recall': 0.6034482717514038, 'auc': 0.9415025115013123, 'prc': 0.9527630805969238, 'seed': 1}
{'time': '02/18/2023 13:11:43', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.8661971688270569, 'precision': 0.9189189076423645, 'recall': 0.6800000071525574, 'auc': 0.9279347658157349, 'prc': 0.8957804441452026, 'seed': 1}
{'time': '02/18/2023 13:13:57', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.7953216433525085, 'precision': 0.9672130942344666, 'recall': 0.6413043737411499, 'auc': 0.9093973636627197, 'prc': 0.9304113984107971, 'seed': 1}
{'time': '02/18/2023 13:15:58', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.7788944840431213, 'precision': 0.95652174949646, 'recall': 0.6168224215507507, 'auc': 0.9113165140151978, 'prc': 0.9314108490943909, 'seed': 1}
{'time': '02/18/2023 13:18:50', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.8061674237251282, 'precision': 0.9571428298950195, 'recall': 0.6203703880310059, 'auc': 0.9352630376815796, 'prc': 0.9354416131973267, 'seed': 1}
{'time': '02/18/2023 13:21:24', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.82421875, 'precision': 0.9642857313156128, 'recall': 0.6585366129875183, 'auc': 0.9493856430053711, 'prc': 0.9491795301437378, 'seed': 1}
{'time': '02/18/2023 13:24:56', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8309859037399292, 'precision': 0.969072163105011, 'recall': 0.6762589812278748, 'auc': 0.9479037523269653, 'prc': 0.9517266154289246, 'seed': 1}
{'time': '02/18/2023 13:25:30', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.5517241358757019, 'precision': 0.800000011920929, 'recall': 0.25, 'auc': 0.6947115063667297, 'prc': 0.6968797445297241, 'seed': 2}
{'time': '02/18/2023 13:26:23', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.6842105388641357, 'precision': 0.8333333134651184, 'recall': 0.5, 'auc': 0.8475308418273926, 'prc': 0.8663229942321777, 'seed': 2}
{'time': '02/18/2023 13:27:23', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.729411780834198, 'precision': 0.9523809552192688, 'recall': 0.4761904776096344, 'auc': 0.924418568611145, 'prc': 0.9203293919563293, 'seed': 2}
{'time': '02/18/2023 13:28:58', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.7982456088066101, 'precision': 1.0, 'recall': 0.6034482717514038, 'auc': 0.9271860122680664, 'prc': 0.9362086653709412, 'seed': 2}
{'time': '02/18/2023 13:30:28', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.7816901206970215, 'precision': 0.9545454382896423, 'recall': 0.591549277305603, 'auc': 0.9344375729560852, 'prc': 0.9387494325637817, 'seed': 2}
{'time': '02/18/2023 13:32:41', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.7836257219314575, 'precision': 1.0, 'recall': 0.6105263233184814, 'auc': 0.9641966223716736, 'prc': 0.9720489382743835, 'seed': 2}
{'time': '02/18/2023 13:34:45', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.7487437129020691, 'precision': 0.8823529481887817, 'recall': 0.5882353186607361, 'auc': 0.8917019963264465, 'prc': 0.9084622263908386, 'seed': 2}
{'time': '02/18/2023 13:37:40', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.7885462641716003, 'precision': 0.9473684430122375, 'recall': 0.6206896305084229, 'auc': 0.924238920211792, 'prc': 0.9325082302093506, 'seed': 2}
{'time': '02/18/2023 13:40:18', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.7734375, 'precision': 0.9268292784690857, 'recall': 0.59375, 'auc': 0.927032470703125, 'prc': 0.9263936281204224, 'seed': 2}
{'time': '02/18/2023 13:43:53', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8345070481300354, 'precision': 0.9711538553237915, 'recall': 0.6965517401695251, 'auc': 0.9643760919570923, 'prc': 0.9668697118759155, 'seed': 2}
{'time': '02/18/2023 13:44:26', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.7586206793785095, 'precision': 1.0, 'recall': 0.5333333611488342, 'auc': 0.7904762029647827, 'prc': 0.8502413630485535, 'seed': 3}
{'time': '02/18/2023 13:45:20', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.6666666865348816, 'precision': 1.0, 'recall': 0.40625, 'auc': 0.8212499618530273, 'prc': 0.8740960359573364, 'seed': 3}
{'time': '02/18/2023 13:46:20', 'total_params': 1, 'ratio': 0.3, 'loss': 0.0, 'accuracy': 0.7058823704719543, 'precision': 0.9047619104385376, 'recall': 0.4523809552192688, 'auc': 0.8272424936294556, 'prc': 0.8475170731544495, 'seed': 3}
{'time': '02/18/2023 13:47:54', 'total_params': 1, 'ratio': 0.4, 'loss': 0.0, 'accuracy': 0.8333333134651184, 'precision': 0.970588207244873, 'recall': 0.6470588445663452, 'auc': 0.8867102861404419, 'prc': 0.895879864692688, 'seed': 3}
{'time': '02/18/2023 13:49:24', 'total_params': 1, 'ratio': 0.5, 'loss': 0.0, 'accuracy': 0.7183098793029785, 'precision': 1.0, 'recall': 0.4736842215061188, 'auc': 0.9420853853225708, 'prc': 0.9570099115371704, 'seed': 3}
{'time': '02/18/2023 13:51:37', 'total_params': 1, 'ratio': 0.6, 'loss': 0.0, 'accuracy': 0.859649121761322, 'precision': 0.9836065769195557, 'recall': 0.7228915691375732, 'auc': 0.9585843682289124, 'prc': 0.9649416208267212, 'seed': 3}
{'time': '02/18/2023 13:53:38', 'total_params': 1, 'ratio': 0.7, 'loss': 0.0, 'accuracy': 0.8190954923629761, 'precision': 0.9545454382896423, 'recall': 0.65625, 'auc': 0.9411407709121704, 'prc': 0.9397131204605103, 'seed': 3}
{'time': '02/18/2023 13:56:34', 'total_params': 1, 'ratio': 0.8, 'loss': 0.0, 'accuracy': 0.8414096832275391, 'precision': 0.9736841917037964, 'recall': 0.6851851940155029, 'auc': 0.9616402387619019, 'prc': 0.9608861207962036, 'seed': 3}
{'time': '02/18/2023 13:59:08', 'total_params': 1, 'ratio': 0.9, 'loss': 0.0, 'accuracy': 0.796875, 'precision': 0.957446813583374, 'recall': 0.6521739363670349, 'auc': 0.9358572363853455, 'prc': 0.947999119758606, 'seed': 3}
{'time': '02/18/2023 14:02:39', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.8626760840415955, 'precision': 0.9626168012619019, 'recall': 0.7463768124580383, 'auc': 0.9437909722328186, 'prc': 0.9495528340339661, 'seed': 3}
{'time': '02/18/2023 14:03:12', 'total_params': 1, 'ratio': 0.1, 'loss': 0.0, 'accuracy': 0.6551724076271057, 'precision': 1.0, 'recall': 0.375, 'auc': 0.9399038553237915, 'prc': 0.9407212734222412, 'seed': 4}
{'time': '02/18/2023 14:04:05', 'total_params': 1, 'ratio': 0.2, 'loss': 0.0, 'accuracy': 0.7719298005104065, 'precision': 0.8181818127632141, 'recall': 0.44999998807907104, 'auc': 0.8486486077308655, 'prc': 0.7510043978691101, 'seed': 4}
