**********START:03/14/2023 14:52:36**********
{'time': '03/14/2023 14:53:06', 'total_params': 827267, 'ratio': 1.0, 'loss': 1.1093368530273438, 'accuracy': 0.30000001192092896, 'precision': 0.6000000238418579, 'recall': 0.20000000298023224, 'auc': 0.5641666650772095, 'prc': 0.4344213008880615, 'seed': 0}
{'time': '03/14/2023 14:53:52', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.1543095111846924, 'accuracy': 0.4864864945411682, 'precision': 0.4416666626930237, 'recall': 0.2718749940395355, 'auc': 0.6696493625640869, 'prc': 0.5176136493682861, 'seed': 0}
{'time': '03/14/2023 14:54:41', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.100578784942627, 'accuracy': 0.375, 'precision': 0.5, 'recall': 0.2083333283662796, 'auc': 0.5568576455116272, 'prc': 0.4078759551048279, 'seed': 0}
{'time': '03/14/2023 14:55:30', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.2847071886062622, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4903627932071686, 'prc': 0.3194704055786133, 'seed': 0}
{'time': '03/14/2023 14:56:45', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.018587350845337, 'accuracy': 0.36666667461395264, 'precision': 0.5, 'recall': 0.06666667014360428, 'auc': 0.6569444537162781, 'prc': 0.46346426010131836, 'seed': 0}
{'time': '03/14/2023 14:57:54', 'total_params': 827267, 'ratio': 6.0, 'loss': 0.9789872765541077, 'accuracy': 0.5555555820465088, 'precision': 0.861111044883728, 'recall': 0.328125, 'auc': 0.7341820597648621, 'prc': 0.5565788745880127, 'seed': 0}
{'time': '03/14/2023 14:59:12', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.1259592771530151, 'accuracy': 0.4838709533214569, 'precision': 0.5, 'recall': 0.4516128897666931, 'auc': 0.6847034692764282, 'prc': 0.574883222579956, 'seed': 0}
{'time': '03/14/2023 15:00:44', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.864456832408905, 'accuracy': 0.6000000238418579, 'precision': 0.7777777910232544, 'recall': 0.46666666865348816, 'auc': 0.8036110401153564, 'prc': 0.684373676776886, 'seed': 1}
{'time': '03/14/2023 15:01:38', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.072020411491394, 'accuracy': 0.4444444477558136, 'precision': 0.2222222238779068, 'recall': 0.125, 'auc': 0.6720679402351379, 'prc': 0.496517151594162, 'seed': 1}
{'time': '03/14/2023 15:02:35', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.9279208779335022, 'accuracy': 0.5454545617103577, 'precision': 0.6363636255264282, 'recall': 0.3181818127632141, 'auc': 0.7432851195335388, 'prc': 0.6378911733627319, 'seed': 1}
{'time': '03/14/2023 15:03:58', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.0622384548187256, 'accuracy': 0.5, 'precision': 0.6153846383094788, 'recall': 0.2666666805744171, 'auc': 0.6663889288902283, 'prc': 0.4994809925556183, 'seed': 1}
{'time': '03/14/2023 15:05:22', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.1962276697158813, 'accuracy': 0.3513513505458832, 'precision': 0.20000000298023224, 'recall': 0.09375, 'auc': 0.54693204164505, 'prc': 0.37744152545928955, 'seed': 1}
{'time': '03/14/2023 15:06:51', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.198103904724121, 'accuracy': 0.3636363744735718, 'precision': 0.1607142835855484, 'recall': 0.140625, 'auc': 0.5413223505020142, 'prc': 0.3528609573841095, 'seed': 1}
{'time': '03/14/2023 15:09:06', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.0729753971099854, 'accuracy': 0.5128205418586731, 'precision': 0.5647059082984924, 'recall': 0.3549107313156128, 'auc': 0.675542414188385, 'prc': 0.5076183676719666, 'seed': 1}
{'time': '03/14/2023 15:09:45', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9552935361862183, 'accuracy': 0.5, 'precision': 0.6875, 'recall': 0.36666667461395264, 'auc': 0.724722146987915, 'prc': 0.5665990114212036, 'seed': 2}
{'time': '03/14/2023 15:10:29', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.1288316249847412, 'accuracy': 0.5161290168762207, 'precision': 0.5555555820465088, 'recall': 0.32258063554763794, 'auc': 0.6209676861763, 'prc': 0.48564979434013367, 'seed': 2}
{'time': '03/14/2023 15:11:17', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.0497349500656128, 'accuracy': 0.5, 'precision': 0.5833333134651184, 'recall': 0.3181818127632141, 'auc': 0.6384297609329224, 'prc': 0.5397170782089233, 'seed': 2}
{'time': '03/14/2023 15:12:22', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.2850141525268555, 'accuracy': 0.3529411852359772, 'precision': 0.4615384638309479, 'recall': 0.421875, 'auc': 0.6066176891326904, 'prc': 0.4196031987667084, 'seed': 2}
{'time': '03/14/2023 15:13:38', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.0377346277236938, 'accuracy': 0.47999998927116394, 'precision': 0.5, 'recall': 0.36000001430511475, 'auc': 0.6651999950408936, 'prc': 0.5183264017105103, 'seed': 2}
{'time': '03/14/2023 15:14:59', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.1303839683532715, 'accuracy': 0.3333333432674408, 'precision': 0.46666666865348816, 'recall': 0.3333333432674408, 'auc': 0.6207483410835266, 'prc': 0.4597286880016327, 'seed': 2}
{'time': '03/14/2023 15:16:29', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.052520990371704, 'accuracy': 0.4285714328289032, 'precision': 0.5, 'recall': 0.1428571492433548, 'auc': 0.6167801022529602, 'prc': 0.4886387884616852, 'seed': 2}
{'time': '03/14/2023 15:17:27', 'total_params': 827267, 'ratio': 1.0, 'loss': 1.0749778747558594, 'accuracy': 0.4333333373069763, 'precision': 0.5882353186607361, 'recall': 0.3333333432674408, 'auc': 0.6563888788223267, 'prc': 0.4786321520805359, 'seed': 3}
{'time': '03/14/2023 15:18:17', 'total_params': 827267, 'ratio': 2.0, 'loss': 0.9551809430122375, 'accuracy': 0.5, 'precision': 0.5833333134651184, 'recall': 0.3181818127632141, 'auc': 0.7159091234207153, 'prc': 0.54091477394104, 'seed': 3}
{'time': '03/14/2023 15:19:02', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.3149923086166382, 'accuracy': 0.3214285671710968, 'precision': 0.3461538553237915, 'recall': 0.3214285671710968, 'auc': 0.512117326259613, 'prc': 0.31798890233039856, 'seed': 3}
{'time': '03/14/2023 15:20:07', 'total_params': 827267, 'ratio': 4.0, 'loss': 0.941063404083252, 'accuracy': 0.5, 'precision': 0.5789473652839661, 'recall': 0.4583333432674408, 'auc': 0.7382811903953552, 'prc': 0.5983847975730896, 'seed': 3}
{'time': '03/14/2023 15:21:52', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.0556433200836182, 'accuracy': 0.47058823704719543, 'precision': 0.24137930572032928, 'recall': 0.21875, 'auc': 0.6769031286239624, 'prc': 0.5304930806159973, 'seed': 3}
{'time': '03/14/2023 15:23:05', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.143715500831604, 'accuracy': 0.4545454680919647, 'precision': 0.7037036418914795, 'recall': 0.6718749403953552, 'auc': 0.608126699924469, 'prc': 0.4757731556892395, 'seed': 3}
{'time': '03/14/2023 15:24:40', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.2029372453689575, 'accuracy': 0.4545454680919647, 'precision': 0.7291666269302368, 'recall': 0.6718749403953552, 'auc': 0.6404958963394165, 'prc': 0.48401570320129395, 'seed': 3}
{'time': '03/14/2023 15:25:42', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9624466300010681, 'accuracy': 0.5666666626930237, 'precision': 0.8181818127632141, 'recall': 0.30000001192092896, 'auc': 0.7211110591888428, 'prc': 0.6448783874511719, 'seed': 4}
{'time': '03/14/2023 15:26:27', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.0238277912139893, 'accuracy': 0.5405405163764954, 'precision': 0.375, 'recall': 0.140625, 'auc': 0.6502922177314758, 'prc': 0.5259247422218323, 'seed': 4}
{'time': '03/14/2023 15:27:43', 'total_params': 827267, 'ratio': 3.0, 'loss': 0.8533203601837158, 'accuracy': 0.6129032373428345, 'precision': 0.6428571343421936, 'recall': 0.5806451439857483, 'auc': 0.8108741044998169, 'prc': 0.7155063152313232, 'seed': 4}
{'time': '03/14/2023 15:29:14', 'total_params': 827267, 'ratio': 4.0, 'loss': 1.170422077178955, 'accuracy': 0.5, 'precision': 0.4345238208770752, 'recall': 0.359375, 'auc': 0.6846065521240234, 'prc': 0.54744553565979, 'seed': 4}
{'time': '03/14/2023 15:30:20', 'total_params': 827267, 'ratio': 5.0, 'loss': 0.9365449547767639, 'accuracy': 0.5757575631141663, 'precision': 0.7857142686843872, 'recall': 0.7499999403953552, 'auc': 0.7357667088508606, 'prc': 0.533537745475769, 'seed': 4}
{'time': '03/14/2023 15:31:38', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.0438172817230225, 'accuracy': 0.4722222089767456, 'precision': 0.5833333730697632, 'recall': 0.421875, 'auc': 0.6820987462997437, 'prc': 0.5254615545272827, 'seed': 4}
{'time': '03/14/2023 15:32:46', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.471135139465332, 'accuracy': 0.32258063554763794, 'precision': 0.32258063554763794, 'recall': 0.32258063554763794, 'auc': 0.5013007521629333, 'prc': 0.3270127773284912, 'seed': 4}
{'time': '03/14/2023 15:33:25', 'total_params': 827267, 'ratio': 1.0, 'loss': 0.9960877895355225, 'accuracy': 0.48148149251937866, 'precision': 0.6000000238418579, 'recall': 0.3333333432674408, 'auc': 0.7280521392822266, 'prc': 0.61043381690979, 'seed': 5}
{'time': '03/14/2023 15:34:15', 'total_params': 827267, 'ratio': 2.0, 'loss': 1.0831272602081299, 'accuracy': 0.5, 'precision': 0.5555555820465088, 'recall': 0.3333333432674408, 'auc': 0.6741666793823242, 'prc': 0.5222243666648865, 'seed': 5}
{'time': '03/14/2023 15:35:01', 'total_params': 827267, 'ratio': 3.0, 'loss': 1.0739428997039795, 'accuracy': 0.44117647409439087, 'precision': 0.489130437374115, 'recall': 0.421875, 'auc': 0.6386246085166931, 'prc': 0.5139383673667908, 'seed': 5}
{'time': '03/14/2023 15:36:47', 'total_params': 827267, 'ratio': 4.0, 'loss': 0.9713324308395386, 'accuracy': 0.4285714328289032, 'precision': 0.7142857313156128, 'recall': 0.1785714328289032, 'auc': 0.72066330909729, 'prc': 0.5292355418205261, 'seed': 5}
{'time': '03/14/2023 15:38:03', 'total_params': 827267, 'ratio': 5.0, 'loss': 1.0771257877349854, 'accuracy': 0.4722222089767456, 'precision': 0.32499998807907104, 'recall': 0.203125, 'auc': 0.6959877014160156, 'prc': 0.5321658849716187, 'seed': 5}
{'time': '03/14/2023 15:39:39', 'total_params': 827267, 'ratio': 6.0, 'loss': 1.2786955833435059, 'accuracy': 0.4193548262119293, 'precision': 0.4285714328289032, 'recall': 0.29032257199287415, 'auc': 0.582466185092926, 'prc': 0.43829280138015747, 'seed': 5}
{'time': '03/14/2023 15:41:26', 'total_params': 827267, 'ratio': 7.0, 'loss': 1.0667643547058105, 'accuracy': 0.3611111044883728, 'precision': 0.5, 'recall': 0.28125, 'auc': 0.6398533582687378, 'prc': 0.4764888286590576, 'seed': 5}
