**********START:02/15/2023 21:34:38**********
{'time': '02/15/2023 21:34:59', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0981746912002563, 'accuracy': 0.4333333373069763, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.3333333432674408, 'seed': 0}
{'time': '02/15/2023 21:36:48', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.3087222576141357, 'accuracy': 0.32499998807907104, 'precision': 0.32499998807907104, 'recall': 0.32499998807907104, 'auc': 0.45406249165534973, 'prc': 0.3077008128166199, 'seed': 0}
{'time': '02/15/2023 21:38:20', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4578640460968018, 'accuracy': 0.3181818127632141, 'precision': 0.3181818127632141, 'recall': 0.3181818127632141, 'auc': 0.4545454680919647, 'prc': 0.31386974453926086, 'seed': 0}
{'time': '02/15/2023 21:40:54', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.5621227025985718, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333730697632, 'seed': 0}
{'time': '02/15/2023 21:42:55', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.730023741722107, 'accuracy': 0.3235294222831726, 'precision': 0.3235294222831726, 'recall': 0.3235294222831726, 'auc': 0.529411792755127, 'prc': 0.34120428562164307, 'seed': 0}
{'time': '02/15/2023 21:45:17', 'total_params': 2380675, 'ratio': 16.0, 'loss': 1.6971348524093628, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333730697632, 'seed': 0}
{'time': '02/15/2023 21:48:17', 'total_params': 2380675, 'ratio': 19.0, 'loss': 1.898589015007019, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333730697632, 'seed': 0}
{'time': '02/15/2023 21:51:13', 'total_params': 2380675, 'ratio': 22.0, 'loss': 1.8924452066421509, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.550000011920929, 'prc': 0.3516795039176941, 'seed': 0}
{'time': '02/15/2023 21:54:04', 'total_params': 2380675, 'ratio': 25.0, 'loss': 1.9542044401168823, 'accuracy': 0.3199999928474426, 'precision': 0.3199999928474426, 'recall': 0.3199999928474426, 'auc': 0.46000000834465027, 'prc': 0.3161260485649109, 'seed': 0}
{'time': '02/15/2023 21:57:52', 'total_params': 2380675, 'ratio': 28.0, 'loss': 2.142685651779175, 'accuracy': 0.3214285671710968, 'precision': 0.3214285671710968, 'recall': 0.3214285671710968, 'auc': 0.4821428656578064, 'prc': 0.3238401710987091, 'seed': 0}
{'time': '02/15/2023 22:03:17', 'total_params': 2380675, 'ratio': 31.0, 'loss': 2.1705684661865234, 'accuracy': 0.3214285671710968, 'precision': 0.3214285671710968, 'recall': 0.3214285671710968, 'auc': 0.4910714030265808, 'prc': 0.3268897533416748, 'seed': 0}
{'time': '02/15/2023 22:11:14', 'total_params': 2380675, 'ratio': 34.0, 'loss': 1.7989014387130737, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333730697632, 'seed': 0}
{'time': '02/15/2023 22:16:40', 'total_params': 2380675, 'ratio': 37.0, 'loss': 2.36018443107605, 'accuracy': 0.3199999928474426, 'precision': 0.3199999928474426, 'recall': 0.3199999928474426, 'auc': 0.4899999499320984, 'prc': 0.32612940669059753, 'seed': 0}
{'time': '02/15/2023 22:26:36', 'total_params': 2380675, 'ratio': 40.0, 'loss': 2.169829845428467, 'accuracy': 0.3214285671710968, 'precision': 0.3214285671710968, 'recall': 0.3214285671710968, 'auc': 0.5535714030265808, 'prc': 0.3498523533344269, 'seed': 0}
{'time': '02/15/2023 22:35:09', 'total_params': 2380675, 'ratio': 43.0, 'loss': 2.271852493286133, 'accuracy': 0.3243243098258972, 'precision': 0.3243243098258972, 'recall': 0.3243243098258972, 'auc': 0.4978086054325104, 'prc': 0.32981279492378235, 'seed': 0}
{'time': '02/15/2023 22:37:54', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0974950790405273, 'accuracy': 0.37037035822868347, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5185185074806213, 'prc': 0.35128992795944214, 'seed': 1}
{'time': '02/15/2023 22:38:47', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.266206979751587, 'accuracy': 0.3235294222831726, 'precision': 0.3235294222831726, 'recall': 0.3235294222831726, 'auc': 0.4999999701976776, 'prc': 0.3305729627609253, 'seed': 1}
{'time': '02/15/2023 22:40:32', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.4315030574798584, 'accuracy': 0.3235294222831726, 'precision': 0.3235294222831726, 'recall': 0.3235294222831726, 'auc': 0.5147058963775635, 'prc': 0.3358103632926941, 'seed': 1}
{'time': '02/15/2023 22:45:08', 'total_params': 2380675, 'ratio': 10.0, 'loss': 1.5531681776046753, 'accuracy': 0.3243243098258972, 'precision': 0.3243243098258972, 'recall': 0.3243243098258972, 'auc': 0.47297295928001404, 'prc': 0.32157930731773376, 'seed': 1}
{'time': '02/15/2023 22:47:42', 'total_params': 2380675, 'ratio': 13.0, 'loss': 1.6516883373260498, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.523809552192688, 'prc': 0.34184399247169495, 'seed': 1}
{'time': '02/15/2023 22:50:28', 'total_params': 2380675, 'ratio': 16.0, 'loss': 1.7943776845932007, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333730697632, 'seed': 1}
{'time': '02/15/2023 22:53:59', 'total_params': 2380675, 'ratio': 19.0, 'loss': 1.6675817966461182, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.45454543828964233, 'prc': 0.3182249069213867, 'seed': 1}
{'time': '02/15/2023 22:57:05', 'total_params': 2380675, 'ratio': 22.0, 'loss': 2.0708467960357666, 'accuracy': 0.3235294222831726, 'precision': 0.3235294222831726, 'recall': 0.3235294222831726, 'auc': 0.44117650389671326, 'prc': 0.31118839979171753, 'seed': 1}
{'time': '02/15/2023 23:01:49', 'total_params': 2380675, 'ratio': 25.0, 'loss': 1.9609947204589844, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.523809552192688, 'prc': 0.34184399247169495, 'seed': 1}
{'time': '02/15/2023 23:08:29', 'total_params': 2380675, 'ratio': 28.0, 'loss': 2.127445697784424, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4444444477558136, 'prc': 0.31437361240386963, 'seed': 1}
{'time': '02/15/2023 23:16:41', 'total_params': 2380675, 'ratio': 31.0, 'loss': 1.9667354822158813, 'accuracy': 0.3214285671710968, 'precision': 0.3214285671710968, 'recall': 0.3214285671710968, 'auc': 0.5178571343421936, 'prc': 0.33638477325439453, 'seed': 1}
{'time': '02/15/2023 23:21:21', 'total_params': 2380675, 'ratio': 34.0, 'loss': 2.2332839965820312, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4761904776096344, 'prc': 0.32523292303085327, 'seed': 1}
{'time': '02/15/2023 23:26:31', 'total_params': 2380675, 'ratio': 37.0, 'loss': 2.2574634552001953, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.469696968793869, 'prc': 0.3230949342250824, 'seed': 1}
{'time': '02/15/2023 23:31:52', 'total_params': 2380675, 'ratio': 40.0, 'loss': 2.2418155670166016, 'accuracy': 0.3199999928474426, 'precision': 0.3199999928474426, 'recall': 0.3199999928474426, 'auc': 0.41999998688697815, 'prc': 0.3038012981414795, 'seed': 1}
{'time': '02/15/2023 23:39:13', 'total_params': 2380675, 'ratio': 43.0, 'loss': 2.2609665393829346, 'accuracy': 0.3181818127632141, 'precision': 0.3181818127632141, 'recall': 0.3181818127632141, 'auc': 0.4886363446712494, 'prc': 0.325165718793869, 'seed': 1}
{'time': '02/15/2023 23:42:07', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0973070859909058, 'accuracy': 0.36666667461395264, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5, 'prc': 0.34361687302589417, 'seed': 2}
{'time': '02/15/2023 23:43:16', 'total_params': 2380675, 'ratio': 4.0, 'loss': 1.2660393714904785, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.5277777910232544, 'prc': 0.34330230951309204, 'seed': 2}
{'time': '02/15/2023 23:44:21', 'total_params': 2380675, 'ratio': 7.0, 'loss': 1.5098750591278076, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.472222238779068, 'prc': 0.3239227533340454, 'seed': 2}
