**********START:02/15/2023 21:34:38**********
{'time': '02/15/2023 21:35:22', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.5333333611488342, 'f1score': 0.26923075318336487, 'precision': 1.0, 'recall': 0.15555556118488312, 'auc': 0.6691666841506958, 'prc': 0.4976412057876587, 'seed': 0}
{'time': '02/15/2023 21:37:17', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.4000000059604645, 'f1score': 0.47580641508102417, 'precision': 1.0, 'recall': 0.3125, 'auc': 0.6606250405311584, 'prc': 0.47887858748435974, 'seed': 0}
{'time': '02/15/2023 21:38:50', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.3636363744735718, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6306818127632141, 'prc': 0.39643844962120056, 'seed': 0}
{'time': '02/15/2023 21:41:28', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5766666531562805, 'prc': 0.37795814871788025, 'seed': 0}
{'time': '02/15/2023 21:43:34', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6273788809776306, 'prc': 0.4601387083530426, 'seed': 0}
{'time': '02/15/2023 21:45:52', 'total_params': 1, 'ratio': 16.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5816326141357422, 'prc': 0.4253084063529968, 'seed': 0}
{'time': '02/15/2023 21:49:20', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6870748400688171, 'prc': 0.47766897082328796, 'seed': 0}
{'time': '02/15/2023 21:52:12', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5916666388511658, 'prc': 0.3854372203350067, 'seed': 0}
{'time': '02/15/2023 21:54:49', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5656000375747681, 'prc': 0.3590505123138428, 'seed': 0}
{'time': '02/15/2023 21:58:59', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6058673858642578, 'prc': 0.44275468587875366, 'seed': 0}
{'time': '02/15/2023 22:04:49', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6658163070678711, 'prc': 0.5038497447967529, 'seed': 0}
{'time': '02/15/2023 22:12:46', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7105555534362793, 'prc': 0.5439949035644531, 'seed': 0}
{'time': '02/15/2023 22:18:58', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6000000238418579, 'prc': 0.3831806182861328, 'seed': 0}
{'time': '02/15/2023 22:27:50', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.590242326259613, 'prc': 0.37605494260787964, 'seed': 0}
{'time': '02/15/2023 22:37:04', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.3243243098258972, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6409788131713867, 'prc': 0.4705103635787964, 'seed': 0}
