epitope	gene	freq	SE
GenBank	IGHD1-1	0.0056	0.0008
GenBank	IGHD1-14	0.0062	0.0008
GenBank	IGHD1-20	0.0026	0.0005
GenBank	IGHD1-26	0.0633	0.0025
GenBank	IGHD1-7	0.0082	0.0009
GenBank	IGHD2-15	0.0437	0.0021
GenBank	IGHD2-2	0.0775	0.0028
GenBank	IGHD2-21	0.0303	0.0018
GenBank	IGHD2-8	0.0217	0.0015
GenBank	IGHD3-10	0.113	0.0033
GenBank	IGHD3-16	0.0496	0.0023
GenBank	IGHD3-22	0.1033	0.0032
GenBank	IGHD3-3	0.1004	0.0031
GenBank	IGHD3-9	0.0549	0.0024
GenBank	IGHD4-17	0.0453	0.0022
GenBank	IGHD4-23	0.0178	0.0014
GenBank	IGHD5-12	0.0259	0.0017
GenBank	IGHD5-24	0.0293	0.0018
GenBank	IGHD6-13	0.053	0.0023
GenBank	IGHD6-19	0.0809	0.0028
GenBank	IGHD6-25	0.0104	0.0011
GenBank	IGHD6-6	0.0484	0.0022
GenBank	IGHD7-27	0.0089	0.001
Head	IGHD1-1	0.006	0.0059
Head	IGHD1-14	0.006	0.0059
Head	IGHD1-20	0	0
Head	IGHD1-26	0.0179	0.0102
Head	IGHD1-7	0.0119	0.0084
Head	IGHD2-15	0.006	0.0059
Head	IGHD2-2	0.0655	0.0191
Head	IGHD2-21	0.0595	0.0183
Head	IGHD2-8	0.0238	0.0118
Head	IGHD3-10	0.1071	0.0239
Head	IGHD3-16	0.0595	0.0183
Head	IGHD3-22	0.0893	0.022
Head	IGHD3-3	0.0714	0.0199
Head	IGHD3-9	0.006	0.0059
Head	IGHD4-17	0.2024	0.031
Head	IGHD4-23	0.0179	0.0102
Head	IGHD5-12	0.0476	0.0164
Head	IGHD5-24	0.0476	0.0164
Head	IGHD6-13	0.0655	0.0191
Head	IGHD6-19	0.0655	0.0191
Head	IGHD6-25	0	0
Head	IGHD6-6	0.0119	0.0084
Head	IGHD7-27	0.0119	0.0084
Stem	IGHD1-1	0	0
Stem	IGHD1-14	0.0032	0.0032
Stem	IGHD1-20	0.0095	0.0055
Stem	IGHD1-26	0.1203	0.0183
Stem	IGHD1-7	0.0063	0.0045
Stem	IGHD2-15	0.0475	0.012
Stem	IGHD2-2	0.0759	0.0149
Stem	IGHD2-21	0.0158	0.007
Stem	IGHD2-8	0.0127	0.0063
Stem	IGHD3-10	0.1234	0.0185
Stem	IGHD3-16	0.0538	0.0127
Stem	IGHD3-22	0.0949	0.0165
Stem	IGHD3-3	0.0949	0.0165
Stem	IGHD3-9	0.1234	0.0185
Stem	IGHD4-17	0.0158	0.007
Stem	IGHD4-23	0	0
Stem	IGHD5-12	0.0253	0.0088
Stem	IGHD5-24	0.0127	0.0063
Stem	IGHD6-13	0.0506	0.0123
Stem	IGHD6-19	0.0886	0.016
Stem	IGHD6-25	0.0127	0.0063
Stem	IGHD6-6	0.0095	0.0055
Stem	IGHD7-27	0.0032	0.0032
