epitope	gene	freq	SE
GenBank	IGKJ1	0.2338	0.0042
GenBank	IGKJ2	0.2336	0.0042
GenBank	IGKJ3	0.0841	0.0028
GenBank	IGKJ4	0.1744	0.0038
GenBank	IGKJ5	0.0679	0.0025
GenBank	IGLJ1	0.0683	0.0025
GenBank	IGLJ2	0	0
GenBank	IGLJ3	0.1295	0.0033
GenBank	IGLJ4	0.0007	0.0003
GenBank	IGLJ6	0.001	0.0003
GenBank	IGLJ7	0.0053	0.0007
Head	IGKJ1	0.16	0.0277
Head	IGKJ2	0.2	0.0302
Head	IGKJ3	0.0686	0.0191
Head	IGKJ4	0.1657	0.0281
Head	IGKJ5	0.0857	0.0212
Head	IGLJ1	0.12	0.0246
Head	IGLJ2	0.0057	0.0057
Head	IGLJ3	0.1771	0.0289
Head	IGLJ4	0.0057	0.0057
Head	IGLJ6	0	0
Head	IGLJ7	0.0114	0.008
Stem	IGKJ1	0.2346	0.0317
Stem	IGKJ2	0.1899	0.0293
Stem	IGKJ3	0.0559	0.0172
Stem	IGKJ4	0.2291	0.0314
Stem	IGKJ5	0.1229	0.0245
Stem	IGLJ1	0.067	0.0187
Stem	IGLJ2	0.0056	0.0056
Stem	IGLJ3	0.0782	0.0201
Stem	IGLJ4	0	0
Stem	IGLJ6	0.0056	0.0056
Stem	IGLJ7	0.0112	0.0079
