epitope	gene	freq	SE
GenBank	IGHV1-18__IGKV1-17	0.0006	0.0002
GenBank	IGHV1-18__IGKV1-33	0.0015	0.0003
GenBank	IGHV1-18__IGKV1-39	0.0152	0.0011
GenBank	IGHV1-18__IGKV1-5	0.0013	0.0003
GenBank	IGHV1-18__IGKV2-24	0	0
GenBank	IGHV1-18__IGKV2-30	0.0068	0.0007
GenBank	IGHV1-18__IGKV3-11	0.009	0.0008
GenBank	IGHV1-18__IGKV3-20	0.0049	0.0006
GenBank	IGHV1-18__IGLV6-57	0.0004	0.0002
GenBank	IGHV1-24__IGKV1-33	0.0002	0.0001
GenBank	IGHV1-24__IGKV2-28	0.0005	0.0002
GenBank	IGHV1-2__IGKV1-33	0.004	0.0006
GenBank	IGHV1-2__IGKV3-11	0.0041	0.0006
GenBank	IGHV1-2__IGKV3-20	0.0103	0.0009
GenBank	IGHV1-2__IGKV4-1	0.0017	0.0004
GenBank	IGHV1-2__IGLV2-11	0.0015	0.0003
GenBank	IGHV1-2__IGLV2-14	0.0038	0.0006
GenBank	IGHV1-2__IGLV2-23	0.0033	0.0005
GenBank	IGHV1-2__IGLV2-8	0.0014	0.0003
GenBank	IGHV1-2__IGLV3-1	0.0015	0.0003
GenBank	IGHV1-2__IGLV3-21	0.0012	0.0003
GenBank	IGHV1-3__IGKV2-30	0.0005	0.0002
GenBank	IGHV1-3__IGKV4-1	0.0006	0.0002
GenBank	IGHV1-3__IGLV2-8	0.0002	0.0001
GenBank	IGHV1-46__IGKV1-5	0.0005	0.0002
GenBank	IGHV1-46__IGKV2-28	0.0006	0.0002
GenBank	IGHV1-46__IGKV4-1	0.0007	0.0002
GenBank	IGHV1-46__IGLV3-21	0.0008	0.0003
GenBank	IGHV1-69__IGKV1-12	0.0014	0.0003
GenBank	IGHV1-69__IGKV1-13	0.0002	0.0001
GenBank	IGHV1-69__IGKV1-16	0.0009	0.0003
GenBank	IGHV1-69__IGKV1-27	0.0084	0.0008
GenBank	IGHV1-69__IGKV1-33	0.0019	0.0004
GenBank	IGHV1-69__IGKV1-39	0.0042	0.0006
GenBank	IGHV1-69__IGKV1-5	0.0082	0.0008
GenBank	IGHV1-69__IGKV2-28	0.0013	0.0003
GenBank	IGHV1-69__IGKV2-30	0.0062	0.0007
GenBank	IGHV1-69__IGKV2-40	0.0002	0.0001
GenBank	IGHV1-69__IGKV2D-29	0.0005	0.0002
GenBank	IGHV1-69__IGKV3-11	0.0082	0.0008
GenBank	IGHV1-69__IGKV3-15	0.006	0.0007
GenBank	IGHV1-69__IGKV3-20	0.0339	0.0016
GenBank	IGHV1-69__IGKV4-1	0.0026	0.0005
GenBank	IGHV1-69__IGLV1-40	0.0019	0.0004
GenBank	IGHV1-69__IGLV1-44	0.0014	0.0003
GenBank	IGHV1-69__IGLV1-47	0.0004	0.0002
GenBank	IGHV1-69__IGLV1-51	0.0015	0.0003
GenBank	IGHV1-69__IGLV10-54	0.0001	0.0001
GenBank	IGHV1-69__IGLV2-11	0.001	0.0003
GenBank	IGHV1-69__IGLV2-14	0.0017	0.0004
GenBank	IGHV1-69__IGLV3-21	0.001	0.0003
GenBank	IGHV1-69__IGLV4-69	0.0002	0.0001
GenBank	IGHV1-69__IGLV6-57	0.0003	0.0002
GenBank	IGHV1-8__IGKV3-15	0.0009	0.0003
GenBank	IGHV2-26__IGLV3-1	0.0001	0.0001
GenBank	IGHV2-26__IGLV3-21	0.0001	0.0001
GenBank	IGHV2-70__IGKV1-39	0.0019	0.0004
GenBank	IGHV2-70__IGLV1-36	0.0001	0.0001
GenBank	IGHV2-70__IGLV1-44	0	0
GenBank	IGHV2-70__IGLV3-21	0.0013	0.0003
GenBank	IGHV2-70__IGLV3-9	0.0011	0.0003
GenBank	IGHV3-11__IGKV1-12	0.0006	0.0002
GenBank	IGHV3-11__IGKV1-33	0.0006	0.0002
GenBank	IGHV3-11__IGKV1-39	0.0022	0.0004
GenBank	IGHV3-11__IGKV2-28	0.0006	0.0002
GenBank	IGHV3-11__IGKV3-20	0.0017	0.0004
GenBank	IGHV3-11__IGLV1-44	0.0008	0.0003
GenBank	IGHV3-11__IGLV1-51	0.0004	0.0002
GenBank	IGHV3-11__IGLV3-1	0.0006	0.0002
GenBank	IGHV3-11__IGLV6-57	0.0003	0.0002
GenBank	IGHV3-13__IGKV3-20	0.0011	0.0003
GenBank	IGHV3-13__IGLV3-1	0.0002	0.0001
GenBank	IGHV3-15__IGKV1-27	0.0002	0.0001
GenBank	IGHV3-15__IGKV1-33	0.001	0.0003
GenBank	IGHV3-15__IGKV1-39	0.0035	0.0005
GenBank	IGHV3-15__IGKV2-28	0.0018	0.0004
GenBank	IGHV3-15__IGKV3-20	0.0043	0.0006
GenBank	IGHV3-15__IGKV4-1	0.0021	0.0004
GenBank	IGHV3-21__IGKV1-33	0.0006	0.0002
GenBank	IGHV3-21__IGKV1-39	0.0063	0.0007
GenBank	IGHV3-21__IGKV1-5	0.0018	0.0004
GenBank	IGHV3-21__IGKV2-28	0.0008	0.0003
GenBank	IGHV3-21__IGKV3-15	0.0041	0.0006
GenBank	IGHV3-21__IGKV3-20	0.0053	0.0006
GenBank	IGHV3-21__IGLV1-40	0.0083	0.0008
GenBank	IGHV3-21__IGLV1-44	0.0005	0.0002
GenBank	IGHV3-21__IGLV3-21	0.0014	0.0003
GenBank	IGHV3-21__IGLV4-69	0.0004	0.0002
GenBank	IGHV3-23__IGKV1-27	0.0016	0.0004
GenBank	IGHV3-23__IGKV1-33	0.0014	0.0003
GenBank	IGHV3-23__IGKV1-39	0.0054	0.0007
GenBank	IGHV3-23__IGKV1-5	0.0051	0.0006
GenBank	IGHV3-23__IGKV1-9	0.001	0.0003
GenBank	IGHV3-23__IGKV1D-12	0.0006	0.0002
GenBank	IGHV3-23__IGKV2D-29	0.0004	0.0002
GenBank	IGHV3-23__IGKV3-11	0.0076	0.0008
GenBank	IGHV3-23__IGKV3-15	0.0157	0.0011
GenBank	IGHV3-23__IGKV3-20	0.0062	0.0007
GenBank	IGHV3-23__IGLV1-44	0.0016	0.0004
GenBank	IGHV3-23__IGLV1-47	0.0018	0.0004
GenBank	IGHV3-23__IGLV1-51	0.0028	0.0005
GenBank	IGHV3-23__IGLV3-21	0.0018	0.0004
GenBank	IGHV3-23__IGLV7-46	0.0002	0.0001
GenBank	IGHV3-30-3__IGKV1-16	0.0003	0.0002
GenBank	IGHV3-30-3__IGKV1-27	0.0003	0.0002
GenBank	IGHV3-30-3__IGKV3-11	0.0012	0.0003
GenBank	IGHV3-30-3__IGKV3-20	0.0011	0.0003
GenBank	IGHV3-30-3__IGLV3-1	0.0011	0.0003
GenBank	IGHV3-30__IGKV1-12	0.0022	0.0004
GenBank	IGHV3-30__IGKV1-17	0.0018	0.0004
GenBank	IGHV3-30__IGKV1-33	0.0057	0.0007
GenBank	IGHV3-30__IGKV1-5	0.0047	0.0006
GenBank	IGHV3-30__IGKV1D-16	0.001	0.0003
GenBank	IGHV3-30__IGKV3-11	0.0039	0.0006
GenBank	IGHV3-30__IGKV3-15	0.004	0.0006
GenBank	IGHV3-30__IGKV3-20	0.0048	0.0006
GenBank	IGHV3-30__IGKV4-1	0.0061	0.0007
GenBank	IGHV3-30__IGLV1-44	0.002	0.0004
GenBank	IGHV3-30__IGLV2-14	0.0039	0.0006
GenBank	IGHV3-30__IGLV2-8	0.0006	0.0002
